time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax	7 pax	8 pax
05:20:00	323.0566666666667	4.89	6.54	3.48	4.53	3.78	2.6266666666666665	0.73	0.36666666666666664	0.0
05:25:00	319.6666666666667	3.3666666666666667	8.17	3.6366666666666667	3.3766666666666665	5.37	4.4366666666666665	1.6933333333333334	0.2833333333333333	0.0
05:30:00	315.19	3.8333333333333335	8.866666666666667	4.986666666666666	4.84	6.793333333333333	3.21	1.79	0.49	0.0
05:35:00	313.57	3.17	9.323333333333334	6.05	7.8566666666666665	6.1466666666666665	2.5833333333333335	1.3	0.0	0.0
05:40:00	313.69666666666666	4.533333333333333	9.136666666666667	6.74	5.573333333333333	5.683333333333334	2.8666666666666667	0.9766666666666667	0.4666666666666667	0.32666666666666666
05:45:00	310.99666666666667	4.266666666666667	10.533333333333333	8.823333333333334	5.726666666666667	4.256666666666667	3.99	0.8166666666666667	0.3233333333333333	0.26666666666666666
05:50:00	306.7366666666667	6.463333333333333	12.506666666666666	7.226666666666667	6.97	4.616666666666666	3.6566666666666667	1.0166666666666666	0.74	0.06666666666666667
05:55:00	309.93333333333334	4.566666666666666	9.03	9.833333333333334	6.036666666666667	4.81	3.6133333333333333	0.9333333333333333	1.0066666666666666	0.23666666666666666
06:00:00	306.92333333333335	5.593333333333334	11.426666666666666	7.846666666666667	7.746666666666667	6.17	2.6733333333333333	1.1733333333333333	0.44666666666666666	0.0
06:05:00	303.06666666666666	5.096666666666667	12.076666666666666	10.05	8.383333333333333	7.1466666666666665	2.99	1.1233333333333333	0.06666666666666667	0.0
06:10:00	299.6566666666667	8.263333333333334	11.596666666666666	6.996666666666667	7.593333333333334	8.816666666666666	6.403333333333333	0.6733333333333333	0.0	0.0
06:15:00	293.8066666666667	7.92	15.253333333333334	11.443333333333333	8.363333333333333	4.78	6.623333333333333	1.81	0.0	0.0
06:20:00	285.73	10.023333333333333	19.226666666666667	15.513333333333334	5.743333333333333	7.246666666666667	4.526666666666666	1.99	0.0	0.0
06:25:00	276.48333333333335	12.37	19.99	19.096666666666668	12.86	5.236666666666666	3.56	0.4033333333333333	0.0	0.0
06:30:00	262.14	15.236666666666666	26.7	19.57	14.896666666666667	8.066666666666666	2.68	0.71	0.0	0.0
06:35:00	256.93	11.433333333333334	24.526666666666667	24.993333333333332	15.673333333333334	7.986666666666666	7.66	0.53	0.26666666666666666	0.0
06:40:00	243.2	13.366666666666667	26.463333333333335	31.1	13.693333333333333	14.336666666666666	6.403333333333333	1.1733333333333333	0.2633333333333333	0.0
06:45:00	227.94666666666666	14.47	31.71	26.993333333333332	25.723333333333333	17.293333333333333	4.27	1.5933333333333333	0.0	0.0
06:50:00	216.77333333333334	13.63	35.73	36.06666666666667	26.453333333333333	12.756666666666666	6.11	1.5733333333333333	0.68	0.22666666666666666
06:55:00	207.92333333333335	12.533333333333333	31.716666666666665	38.596666666666664	35.22	15.636666666666667	6.336666666666667	2.0366666666666666	0.0	0.0
07:00:00	199.49333333333334	12.043333333333333	31.333333333333332	38.013333333333335	35.74	25.036666666666665	6.33	1.58	0.43	0.0
07:05:00	190.47666666666666	14.316666666666666	35.66	44.79	28.966666666666665	22.21	11.03	1.71	0.43333333333333335	0.4066666666666667
07:10:00	187.09666666666666	11.743333333333334	38.28333333333333	50.42	38.52333333333333	16.043333333333333	5.98	0.29333333333333333	0.8133333333333334	0.8033333333333333
07:15:00	185.93666666666667	8.483333333333333	45.31666666666667	57.693333333333335	29.12	16.77	4.903333333333333	1.47	0.30666666666666664	0.0
07:20:00	183.11	10.36	50.8	43.35666666666667	30.42	21.64666666666667	6.816666666666666	2.49	1.0	0.0
07:25:00	186.78	11.486666666666666	42.83	43.903333333333336	34.29666666666667	20.22	5.72	3.3033333333333332	1.46	0.0
07:30:00	184.83666666666667	11.193333333333333	44.22	45.86	33.88666666666666	17.18	9.656666666666666	2.81	0.3566666666666667	0.0
07:35:00	181.78	8.41	48.60666666666667	45.656666666666666	37.593333333333334	19.013333333333332	6.266666666666667	2.6733333333333333	0.0	0.0
07:40:00	183.92333333333335	9.22	41.75666666666667	49.5	37.42	18.71	6.706666666666667	2.763333333333333	0.0	0.0
07:45:00	183.22	13.463333333333333	47.53	43.91	35.82333333333333	17.39666666666667	5.51	2.1333333333333333	1.0133333333333334	0.0
07:50:00	185.91333333333333	10.746666666666666	45.083333333333336	50.94	31.68	18.48	5.013333333333334	1.3366666666666667	0.8066666666666666	0.0
07:55:00	192.21666666666667	11.623333333333333	37.233333333333334	46.28	35.29333333333334	18.69	4.863333333333333	2.6	1.2	0.0
08:00:00	198.19	8.876666666666667	31.89	43.74666666666667	38.75	13.536666666666667	12.143333333333333	2.3266666666666667	0.54	0.0
08:05:00	199.76333333333332	10.58	37.05	43.74	31.346666666666668	15.756666666666666	8.25	2.5833333333333335	0.93	0.0
08:10:00	205.25666666666666	9.13	37.85	41.11666666666667	31.97	15.77	6.946666666666666	1.3733333333333333	0.5866666666666667	0.0
08:15:00	208.41	9.41	36.77	39.49666666666667	31.83	14.153333333333334	6.903333333333333	2.9	0.12666666666666668	0.0
08:20:00	205.46666666666667	8.716666666666667	44.623333333333335	38.72666666666667	28.273333333333333	15.716666666666667	7.01	1.05	0.4166666666666667	0.0
08:25:00	217.49333333333334	7.996666666666667	33.486666666666665	38.446666666666665	31.916666666666668	14.506666666666666	4.99	0.7733333333333333	0.39	0.0
08:30:00	228.32666666666665	5.276666666666666	31.136666666666667	40.376666666666665	25.326666666666668	12.306666666666667	6.34	0.7866666666666666	0.12333333333333334	0.0
08:35:00	233.68666666666667	4.293333333333333	32.126666666666665	34.913333333333334	25.363333333333333	11.703333333333333	7.1433333333333335	0.77	0.0	0.0
08:40:00	236.03	8.883333333333333	34.35666666666667	29.30666666666667	25.633333333333333	10.466666666666667	4.673333333333333	0.65	0.0	0.0
08:45:00	248.06	6.976666666666667	36.4	27.546666666666667	20.48	8.58	1.18	0.0	0.26	0.5166666666666667
08:50:00	259.99	9.243333333333334	26.01	25.0	18.696666666666665	7.056666666666667	2.56	0.8366666666666667	0.6066666666666667	0.0
08:55:00	270.82	7.45	29.723333333333333	19.98	12.726666666666667	7.75	0.8033333333333333	0.08666666666666667	0.66	0.0
09:00:00	280.39	7.366666666666666	25.343333333333334	15.133333333333333	11.033333333333333	7.54	3.1933333333333334	0.0	0.0	0.0
09:05:00	287.9066666666667	6.033333333333333	17.27	16.14666666666667	15.356666666666667	5.443333333333333	1.8433333333333333	0.0	0.0	0.0
09:10:00	292.0833333333333	5.36	18.64666666666667	15.223333333333333	11.473333333333333	6.1466666666666665	1.0666666666666667	0.0	0.0	0.0
09:15:00	296.75333333333333	5.483333333333333	20.89	11.653333333333334	8.573333333333334	3.8	2.3633333333333333	0.48333333333333334	0.0	0.0
09:20:00	300.5233333333333	5.14	20.29	11.353333333333333	5.406666666666666	4.176666666666667	2.7266666666666666	0.38333333333333336	0.0	0.0
