"","S0","S1","S2","S3","S4","S5","S6"
"S0",1,3,3,0.3333,0.25,0.2,1
"S1",0.3333,1,0.5,0.2,0.2,0.1667,0.3333
"S2",0.3333,2,1,0.25,0.25,0.2,0.3333
"S3",3,5,4,1,0.5,0.25,3
"S4",4,5,4,2,1,0.3333,4
"S5",5,6,5,4,3,1,5
"S6",1,3,3,0.3333,0.25,0.2,1
