"","S0","S1","S2","S3","S4","S5","S6"
"S0",1,2,2,0.5,0.5,0.5,1
"S1",0.5,1,1,0.3333,0.3333,0.3333,0.5
"S2",0.5,1,1,0.5,0.3333,0.3333,0.5
"S3",2,3,2,1,1,1,2
"S4",2,3,3,1,1,1,2
"S5",2,3,3,1,1,1,2
"S6",1,2,2,0.5,0.5,0.5,1
