"","S0","S1","S2","S3","S4","S5","S6"
"S0",1,1,1,1,1,7,1
"S1",1,1,1,1,1,7,1
"S2",1,1,1,1,1,7,1
"S3",1,1,1,1,1,7,1
"S4",1,1,1,1,1,7,1
"S5",0.1429,0.1429,0.1429,0.1429,0.1429,1,0.1429
"S6",1,1,1,1,1,7,1
