timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;360.27;61;72.7;121.5;291.5;552.5;893.55;1140
05:30:00;204;378.47;61;81.25;150.5;275;547.25;934.5;1197
06:00:00;331;486.17;61;90.4;201;409;728;1127.8;1231
06:30:00;718;610.97;7;108.95;332;597;897;1139.1;1227
07:00:00;774;626.02;1;93;329;609;930.75;1159.25;1218
07:30:00;709;610.42;2;90;311;604;905.5;1138.5;1212
08:00:00;563;563.81;2;73.2;261;544;854;1124.6;1232
08:30:00;293;514.14;21;61;255;477;751.5;1090.8;1207
09:00:00;184;498.07;10;88.25;254.25;448;714;1028.75;1177
09:30:00;180;504.38;61;82.15;238.25;462.5;738.75;1041;1187
10:00:00;198;485.12;6;83.85;204.75;450;742.5;1060.65;1166
10:30:00;208;505.15;61;97.05;235.5;423;757;1094.35;1202
11:00:00;248;537.37;23;85;204;509;841.25;1128.2;1340
11:30:00;195;535.16;61;85.8;239;525;802;1123.8;1198
12:00:00;232;529.15;12;82.3;243.75;496.5;795;1105.8;1194
12:30:00;102;340.63;20;77.3;112.5;260.5;460.5;942.8;1145
13:00:00;116;312.82;61;69.85;119;230;459.5;764.25;1075
13:30:00;138;329.88;61;70.9;133;251;477.25;822.1;1088
14:00:00;226;443.46;61;94.35;196.75;381;658.5;1011.3;1190
14:30:00;493;519.49;8;61;221.5;484;787.5;1112.6;1191
15:00:00;655;608.99;6;78.4;316;578;918;1143;1235
15:30:00;715;626.05;2;84.6;342;619;932;1165;1236
16:00:00;708;615.05;16;89.45;347.25;611;903.75;1138.55;1213
16:30:00;527;602.41;9;84.4;319;565;906;1144;1228
17:00:00;329;544.47;27;83;258.5;476;840.5;1133;1222
17:30:00;188;483.76;7;61;207.75;449;757;1040.7;1193
18:00:00;166;479.34;7;61;235;400;716.5;1070.65;1157
18:30:00;132;491.61;10;55.75;262.25;406.5;694;1133.3;1195
19:00:00;98;501.38;8;149.6;300.25;409.5;689.75;1075.65;1158
19:30:00;66;487.85;76;166.7;282.75;439.5;639;987.35;1035
20:00:00;54;513.04;128;167;318.5;464;686.5;1088.75;1131
20:30:00;46;512.74;108;148.45;320.25;463.5;691.5;969.7;1069
21:00:00;26;452.12;69;82.3;207;373.5;551.75;1073.5;1098
21:30:00;13;335.54;114;114;188.5;249;393.5;1054;1054
22:00:00;9;380.67;225;225;232;312;547;677;677
