time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax	7 pax	8 pax
06:45:00	73.15	21.673333333333332	33.906666666666666	33.47666666666667	17.073333333333334	11.38	6.59	2.75	0.0	0.0
06:50:00	58.483333333333334	19.683333333333334	37.596666666666664	40.163333333333334	29.683333333333334	11.06	2.7333333333333334	0.5966666666666667	0.0	0.0
06:55:00	41.83	22.77	37.333333333333336	44.336666666666666	33.14666666666667	16.523333333333333	3.9366666666666665	0.12333333333333334	0.0	0.0
07:00:00	34.28	16.10333333333333	43.903333333333336	44.153333333333336	36.986666666666665	17.006666666666668	6.153333333333333	0.7066666666666667	0.25333333333333335	0.4533333333333333
07:05:00	28.94	15.806666666666667	39.846666666666664	49.34	40.236666666666665	18.976666666666667	4.036666666666667	1.86	0.9566666666666667	0.0
07:10:00	25.173333333333332	12.75	47.24	56.93333333333333	34.06666666666667	17.243333333333332	5.293333333333333	0.8133333333333334	0.4866666666666667	0.0
07:15:00	24.066666666666666	14.05	47.52333333333333	54.266666666666666	37.68666666666667	18.003333333333334	3.1566666666666667	1.2133333333333334	0.03333333333333333	0.0
07:20:00	23.656666666666666	13.956666666666667	51.36333333333334	53.64333333333333	38.49	16.093333333333334	1.56	1.2366666666666666	0.0	0.0
07:25:00	24.236666666666668	15.166666666666666	50.72	59.733333333333334	36.29	9.22	3.93	0.7033333333333334	0.0	0.0
07:30:00	19.37	15.163333333333334	47.96666666666667	64.06333333333333	30.753333333333334	15.73	5.656666666666666	1.2333333333333334	0.06333333333333334	0.0
07:35:00	20.85333333333333	12.133333333333333	46.49666666666667	60.07333333333333	37.83	19.936666666666667	1.57	0.5366666666666666	0.30333333333333334	0.26666666666666666
07:40:00	21.566666666666666	12.92	48.09	56.43333333333333	43.126666666666665	13.366666666666667	2.65	0.8466666666666667	1.0	0.0
07:45:00	25.69333333333333	14.193333333333333	52.913333333333334	50.14333333333333	32.083333333333336	16.393333333333334	7.32	1.15	0.11	0.0
07:50:00	30.04	9.503333333333334	53.71666666666667	48.53666666666667	34.833333333333336	17.706666666666667	5.363333333333333	0.3	0.0	0.0
07:55:00	36.09	10.333333333333334	43.14666666666667	45.21666666666667	43.776666666666664	14.493333333333334	5.346666666666667	0.57	1.0266666666666666	0.0
08:00:00	44.59	8.436666666666667	31.473333333333333	50.016666666666666	33.36666666666667	18.216666666666665	12.25	1.61	0.04	0.0
08:05:00	47.24333333333333	6.616666666666666	34.64666666666667	45.846666666666664	37.29666666666667	19.216666666666665	8.026666666666667	0.73	0.37666666666666665	0.0
08:10:00	47.39333333333333	8.956666666666667	37.5	49.833333333333336	33.38666666666666	15.99	4.96	1.5966666666666667	0.38333333333333336	0.0
08:15:00	47.75	10.03	48.00333333333333	46.403333333333336	26.473333333333333	15.716666666666667	4.946666666666666	0.6766666666666666	0.0	0.0
08:20:00	51.56	8.41	48.43	39.19	35.086666666666666	12.46	4.223333333333334	0.44333333333333336	0.19666666666666666	0.0
