timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;338.9;61;64;116;293.5;488.75;832.35;992
05:30:00;204;371;69;88.75;143.25;313;539.75;903;1187
06:00:00;331;452.6;61;87.6;181;361;679;1083.6;1177
06:30:00;717;599.36;2;97;269;577;915.5;1155.1;1229
07:00:00;773;636.09;3;108.7;328.5;631;950;1155;1245
07:30:00;705;599.74;9;93;295.5;582;914.5;1148.7;1208
08:00:00;571;555.52;2;61;252;522;847;1129;1216
08:30:00;289;519.85;6;70;226;458;782;1072.5;1216
09:00:00;186;503.06;13;94.05;235.75;450;741.25;1044;1146
09:30:00;180;516.09;61;108.1;251.5;457.5;750;1103.5;1195
10:00:00;198;551.3;53;106.3;270;482.5;836.75;1138.15;1182
10:30:00;208;563.3;61;77.35;257.75;527;842.75;1159.5;1242
11:00:00;248;541.9;61;100.35;249;476.5;849.25;1116.55;1192
11:30:00;195;544.33;61;95.8;234;517;832;1155.2;1190
12:00:00;232;523.37;20;61;214;495.5;819.25;1097.75;1233
12:30:00;102;352.37;45;61;127;249;445;1021.05;1156
13:00:00;116;306.11;42;61;125.25;223.5;422.5;796.6;1220
13:30:00;138;361.75;61;76.8;149;279;535.25;939.2;1032
14:00:00;226;414.09;61;90.75;158.75;320.5;592.5;993.9;1156
14:30:00;493;498;20;74.4;186;444;745;1107;1210
15:00:00;655;538.36;4;61;213;501;822;1140.8;1220
15:30:00;714;589.82;15;61;272.25;566;909;1139.25;1214
16:00:00;708;601.94;4;65.05;306.25;610;901;1131.55;1249
16:30:00;527;561.78;12;61;255;532;853;1154;1207
17:00:00;329;541.45;1;61.5;247.5;491;822;1117;1200
17:30:00;188;484.66;27;61;242.75;409.5;708.5;1077.55;1185
18:00:00;168;437.46;13;53;168;380;668.5;1008;1179
18:30:00;131;476.72;19;61;262;443;674;1033.8;1166
19:00:00;98;466.41;49;98.4;272.75;443.5;622.5;924;1200
19:30:00;66;416.27;7;114.4;234.25;359;564.5;898.2;1013
20:00:00;54;487.44;102;154.5;298.25;436.5;630.75;1088;1200
20:30:00;46;492.35;136;170.25;299.25;458.5;683.75;914.85;1133
21:00:00;26;461.12;144;164.3;296;433;531.25;1105.25;1121
21:30:00;13;364.23;131;131;208;264;532;832;832
22:00:00;9;500.56;148;148;242.5;427;819.5;999;999
