"","S0","S1","S2","S3","S4","S5","S6"
"S0",1,1,1,1,0.5,0.1667,1
"S1",1,1,1,0.5,0.3333,0.1667,1
"S2",1,1,1,0.5,0.3333,0.1667,1
"S3",1,2,2,1,0.5,0.1667,1
"S4",2,3,3,2,1,0.1667,2
"S5",6,6,6,6,6,1,6
"S6",1,1,1,1,0.5,0.1667,1
