timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;355.03;61;80.7;133.5;285.5;537.25;884.3;994
05:30:00;204;377.44;61;67;130;322;571.25;925;1138
06:00:00;331;451.77;51;78.6;178;372;697;1056.6;1184
06:30:00;717;555.69;13;88.9;242;513;848.5;1139;1207
07:00:00;777;595.16;1;88.6;294;567;882.5;1157.1;1253
07:30:00;708;593.42;9;82.8;270;584;887;1145;1207
08:00:00;558;547.29;10;65.95;244;493;830.5;1122.35;1222
08:30:00;296;548.11;5;90.7;248.75;515;830.75;1137.15;1196
09:00:00;185;506.39;39;107.9;222;446;747.5;1065;1197
09:30:00;180;471.83;61;106;215.25;388;718.5;1001.2;1167
10:00:00;198;513.63;61;90.7;218.5;494;748.25;1066.9;1196
10:30:00;208;542.14;61;80.95;245.5;505;799.75;1103.05;1233
11:00:00;248;506.12;42;75.45;205.25;444;792.75;1098.1;1235
11:30:00;195;517.85;61;86.6;210;478;813;1086.6;1203
12:00:00;232;519.12;61;76.9;219;459.5;787.75;1100.9;1191
12:30:00;102;357.83;61;61;107.5;277;549;1058.4;1154
13:00:00;116;281.5;61;61;102.25;201.5;423.25;741.45;835
13:30:00;138;319.36;61;61;131.5;258.5;462.25;752.85;1000
14:00:00;226;400.69;61;73.35;154.75;337;592;986.05;1168
14:30:00;493;477.42;6;61;161.5;385;781.5;1096.3;1181
15:00:00;657;537.97;7;61;213.5;500;851;1133;1220
15:30:00;712;568.12;5;61;226.5;559.5;885.75;1138.7;1251
16:00:00;710;550.94;3;61;239.75;531.5;824;1135;1201
16:30:00;529;550.65;8;61;223.5;509;874.5;1142;1211
17:00:00;327;524.22;3;61;239;468;817;1111.4;1197
17:30:00;187;483.81;30;61;192;445;744;1131;1176
18:00:00;166;445.95;2;60.35;203.5;401.5;676.5;1006.55;1112
18:30:00;132;495.83;9;61;249.75;419.5;666.5;1150.7;1174
19:00:00;98;540.37;15;163.45;300.75;492;777.75;1067.25;1164
19:30:00;66;458.53;101;142;309.5;422.5;619.25;835.45;1131
20:00:00;54;507.76;114;163.5;315.25;411.5;673;1134.75;1209
20:30:00;46;504.85;99;143.85;328.5;483;697.5;1022.05;1111
21:00:00;26;470.88;129;139.85;261.5;412;633.75;1061.35;1103
21:30:00;13;391;86;86;213.5;286;575;893;893
22:00:00;9;345.78;177;177;262;370;422.5;495;495
