vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi31;32594.49;29846.83;2747.65;64176.4
taxi34;57253.62;51869.61;5384;117463.32
taxi33;36467.29;31369.79;5097.5;82199.56
taxi112;64654.06;62400.07;2254;169153.75
taxi233;55779.37;55186.69;592.68;115030.81
taxi113;191420.92;185128.16;6292.76;487477.64
taxi234;23835.24;19989.72;3845.52;40880.42
taxi114;197024.17;193855.89;3168.29;521085.19
taxi235;93944.36;80563.4;13380.95;195215.32
taxi115;161234.21;149740.68;11493.53;363388.28
taxi236;151305.96;148679.06;2626.91;343540.43
taxi230;18479.9;17829.73;650.17;36260.81
taxi110;67101.25;66426.7;674.55;171381.41
taxi231;137552.23;124425.85;13126.38;340430.98
taxi111;62027.88;57638.88;4388.99;130882.58
taxi232;151080.4;146317.6;4762.8;372646.87
taxi116;144882.74;137136.82;7745.92;363282.18
taxi237;116134.25;111330.96;4803.3;265097.71
taxi117;36501.05;29826.35;6674.69;52973.2
taxi238;32625.42;28077.86;4547.57;49496.16
taxi118;121275.46;120049.19;1226.27;275149.05
taxi239;174933.48;168623.92;6309.56;360623
taxi119;93666.33;90586.27;3080.06;226140.03
taxi101;228921.3;221027.66;7893.65;620317.52
taxi222;141111.2;139321.25;1789.95;380195.41
taxi102;50367.16;47554.26;2812.9;110715.61
taxi223;181333.42;169270.64;12062.77;413733.9
taxi103;82377.12;75621.4;6755.72;147826.7
taxi224;98786.79;91845.27;6941.53;253528
taxi104;146932.55;144829.98;2102.57;333174.63
taxi225;114691.95;106364.05;8327.9;280191.92
taxi220;82548.59;81530.07;1018.52;187742.92
taxi100;68408.62;65914.2;2494.42;146105.54
taxi221;136349.76;127859.35;8490.41;340429.89
taxi109;102358.31;99905.72;2452.59;258426.87
taxi105;117636.58;104443.06;13193.52;285681.97
taxi226;104720.88;96330.29;8390.59;241798.75
taxi106;36761.54;34956.39;1805.16;106836.27
taxi227;118192.02;115772.3;2419.72;270937.3
taxi107;127638.42;121895.84;5742.58;318368.06
taxi228;176822.06;161900.08;14921.98;345752.31
taxi108;65213.11;62099.51;3113.6;159471.31
taxi229;121647.42;109868.94;11778.48;247213.51
taxi250;120809.42;117598.93;3210.49;331833.07
taxi134;155036.28;144260.82;10775.46;341416.36
taxi255;109074.6;102612.33;6462.27;249551.61
taxi135;96036.99;92873.11;3163.88;218107.46
taxi256;123741.34;120997.75;2743.59;254194.14
taxi136;102545.43;100916.54;1628.89;243150.69
taxi257;114595.17;106230.17;8365;215200.71
taxi137;198126.34;177271.56;20854.78;451835.98
taxi258;71677.71;68233.93;3443.78;171325.57
taxi130;144778.01;138775.58;6002.43;369471
taxi251;106840.73;105498.19;1342.54;258022.87
taxi131;147849.64;143572.63;4277.01;282971.53
taxi252;138724.97;131181.11;7543.86;311415.25
taxi132;97264.8;87697.4;9567.4;224678.51
taxi253;152180.28;148026.67;4153.61;452740.52
taxi133;114150.1;110626.87;3523.23;353337.6
taxi254;120942.78;119265.48;1677.3;291377.43
taxi138;224903.74;212357.79;12545.95;486098.26
taxi259;68052.08;63745.32;4306.76;137055.56
taxi139;182090.15;172900.13;9190.01;468882.43
taxi123;76270.6;70873.6;5396.99;198996.01
taxi244;105843.59;101677.76;4165.83;227292.78
taxi124;90030.46;87002.6;3027.86;176757.4
taxi245;162435.55;155852.55;6583;400632.72
