Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
5828;456180.2242902898;5731951.886723423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
5829;455746.9802910088;5731909.147805381;0;0;0;0;0;0;0;3;2;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0
2799;454518.2308422962;5732658.758352747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2798;454349.02220840787;5732763.07228475;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2314;452958.58941169776;5733017.002652464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2797;452098.69824603514;5733878.779443555;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2313;452563.56905470695;5733010.785978075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2312;452760.8472263411;5733016.740005779;0;0;0;0;0;0;2;0;4;1;0;0;0;0;1;4;1;2;1;0;0;0;0;0
1465;454367.20913694025;5735896.201018138;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2796;452076.11526250467;5733760.983182762;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
7;457803.97840007837;5730192.4105620105;0;0;0;0;0;0;2;7;4;1;0;0;0;0;0;8;1;0;1;0;0;0;0;0
1463;454371.2919882434;5735944.669626021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10662;454811.76806472417;5737174.3570535295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
10664;455070.7983893015;5737368.595243546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0
10663;454945.39547290327;5737200.04171961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5825;455707.88412325404;5730306.310041609;0;0;0;0;0;0;0;3;5;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0
10666;455077.25503706816;5737337.683493823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2319;453028.5213304536;5733017.540142779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
2318;453172.74359512236;5733018.822210717;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0
3662;455150.7645155573;5734147.65417201;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1484;454943.1331601242;5734840.429581214;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1482;455291.8098102083;5730130.065757219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10635;454515.3490028084;5735709.568693055;0;0;0;0;0;0;1;2;2;3;1;0;0;0;1;2;1;0;0;0;0;0;0;0
4507;456273.1338298515;5736545.863854215;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2327;452341.7996069159;5736316.992670258;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1479;455291.8098102083;5730130.065757219;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10636;454289.3122376888;5735739.801348123;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
