RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_5495;517.0;329.0;188.0
drt_4167;167.0;167.0;0.0
drt_5498;569.0;569.0;0.0
drt_4166;318.0;318.0;0.0
drt_5497;106.0;106.0;0.0
drt_4169;367.0;367.0;0.0
drt_4168;793.0;793.0;0.0
drt_5499;388.0;327.0;61.0
drt_6791;61.0;61.0;0.0
drt_6792;535.0;535.0;0.0
drt_4130;425.0;425.0;0.0
drt_5461;127.0;129.0;-2.0
drt_5460;277.0;150.0;127.0
drt_6790;652.0;327.0;325.0
drt_4132;92.0;92.0;0.0
drt_5463;559.0;206.0;353.0
drt_6795;665.0;409.0;256.0
drt_4131;804.0;729.0;75.0
drt_5462;186.0;186.0;0.0
drt_6796;316.0;316.0;0.0
drt_4134;866.0;781.0;85.0
drt_5465;61.0;61.0;0.0
drt_6793;834.0;743.0;91.0
drt_4133;83.0;83.0;0.0
drt_5464;830.0;416.0;414.0
drt_6794;94.0;94.0;0.0
drt_4136;411.0;350.0;61.0
drt_5467;192.0;194.0;-2.0
drt_6799;691.0;245.0;446.0
drt_4135;900.0;809.0;91.0
drt_5466;211.0;211.0;0.0
drt_4138;66.0;66.0;0.0
drt_5469;179.0;179.0;0.0
drt_6797;577.0;577.0;0.0
drt_4137;773.0;712.0;61.0
drt_5468;692.0;557.0;135.0
drt_6798;61.0;61.0;0.0
drt_4139;752.0;749.0;3.0
drt_5470;300.0;300.0;0.0
drt_4141;335.0;335.0;0.0
drt_5472;403.0;403.0;0.0
drt_4140;646.0;629.0;17.0
drt_5471;357.0;357.0;0.0
drt_4143;585.0;585.0;0.0
drt_5474;61.0;61.0;0.0
drt_4142;781.0;781.0;0.0
drt_5473;221.0;221.0;0.0
drt_4145;220.0;222.0;-2.0
drt_5476;110.0;110.0;0.0
drt_4144;167.0;167.0;0.0
drt_5475;181.0;181.0;0.0
drt_4147;158.0;158.0;0.0
drt_5478;487.0;416.0;71.0
drt_4146;305.0;305.0;0.0
drt_5477;86.0;86.0;0.0
drt_4149;767.0;413.0;354.0
drt_4148;798.0;715.0;83.0
drt_5479;728.0;532.0;196.0
drt_6770;868.0;868.0;0.0
drt_4110;900.0;900.0;0.0
drt_5441;116.0;116.0;0.0
drt_6773;871.0;871.0;0.0
drt_5440;796.0;796.0;0.0
drt_6774;139.0;139.0;0.0
drt_4112;688.0;688.0;0.0
drt_5443;190.0;190.0;0.0
drt_6771;313.0;313.0;0.0
drt_4111;293.0;293.0;0.0
drt_5442;307.0;307.0;0.0
drt_6772;585.0;585.0;0.0
drt_4114;316.0;316.0;0.0
drt_5445;208.0;210.0;-2.0
drt_6777;496.0;496.0;0.0
drt_4113;723.0;289.0;434.0
drt_5444;387.0;387.0;0.0
drt_6778;887.0;826.0;61.0
drt_4116;864.0;721.0;143.0
drt_5447;439.0;439.0;0.0
drt_6775;60.0;60.0;0.0
drt_4115;145.0;145.0;0.0
drt_5446;306.0;306.0;0.0
drt_6776;238.0;238.0;0.0
drt_4118;356.0;356.0;0.0
drt_5449;89.0;89.0;0.0
drt_4117;90.0;90.0;0.0
drt_5448;136.0;138.0;-2.0
drt_6779;709.0;709.0;0.0
drt_4119;251.0;253.0;-2.0
drt_6780;169.0;171.0;-2.0
drt_6781;573.0;355.0;218.0
drt_5450;84.0;84.0;0.0
drt_4121;183.0;183.0;0.0
drt_5452;406.0;406.0;0.0
drt_6784;752.0;752.0;0.0
drt_4120;156.0;156.0;0.0
drt_5451;238.0;238.0;0.0
drt_6785;275.0;275.0;0.0
drt_4123;778.0;583.0;195.0
drt_5454;615.0;360.0;255.0
drt_6782;104.0;106.0;-2.0
drt_4122;264.0;264.0;0.0
drt_5453;71.0;71.0;0.0
drt_6783;91.0;91.0;0.0
drt_4125;355.0;355.0;0.0
drt_5456;262.0;262.0;0.0
drt_6788;103.0;103.0;0.0
drt_4124;825.0;710.0;115.0
drt_5455;417.0;417.0;0.0
drt_6789;678.0;678.0;0.0
drt_4127;106.0;106.0;0.0
drt_5458;514.0;329.0;185.0
drt_6786;600.0;600.0;0.0
drt_4126;528.0;528.0;0.0
drt_5457;407.0;222.0;185.0
drt_6787;114.0;114.0;0.0
drt_4129;697.0;697.0;0.0
drt_4128;838.0;639.0;199.0
drt_5459;631.0;446.0;185.0
drt_5419;302.0;302.0;0.0
drt_6751;795.0;520.0;275.0
drt_6752;102.0;104.0;-2.0
drt_5421;750.0;549.0;201.0
drt_5420;80.0;80.0;0.0
drt_6750;797.0;797.0;0.0
drt_5423;150.0;150.0;0.0
drt_6755;862.0;862.0;0.0
drt_5422;727.0;267.0;460.0
drt_6756;289.0;289.0;0.0
drt_5425;764.0;220.0;544.0
drt_6753;528.0;528.0;0.0
drt_5424;153.0;155.0;-2.0
drt_6754;370.0;370.0;0.0
drt_5427;857.0;313.0;544.0
drt_6759;641.0;589.0;52.0
drt_5426;387.0;387.0;0.0
drt_5429;195.0;197.0;-2.0
drt_6757;869.0;869.0;0.0
drt_5428;231.0;231.0;0.0
drt_6758;547.0;547.0;0.0
drt_5430;71.0;71.0;0.0
drt_6762;760.0;699.0;61.0
drt_6763;250.0;245.0;5.0
drt_4101;283.0;283.0;0.0
drt_5432;73.0;73.0;0.0
drt_6760;753.0;682.0;71.0
drt_4100;185.0;187.0;-2.0
drt_5431;141.0;141.0;0.0
drt_6761;873.0;873.0;0.0
drt_4103;790.0;756.0;34.0
drt_5434;418.0;315.0;103.0
drt_6766;130.0;130.0;0.0
drt_4102;303.0;303.0;0.0
drt_5433;211.0;211.0;0.0
drt_6767;613.0;613.0;0.0
drt_4105;529.0;529.0;0.0
drt_5436;196.0;196.0;0.0
drt_6764;583.0;583.0;0.0
drt_4104;159.0;159.0;0.0
drt_5435;328.0;328.0;0.0
drt_6765;530.0;530.0;0.0
drt_4107;765.0;345.0;420.0
drt_5438;79.0;81.0;-2.0
drt_4106;842.0;351.0;491.0
drt_5437;95.0;95.0;0.0
drt_4109;579.0;579.0;0.0
drt_6768;213.0;213.0;0.0
drt_4108;695.0;695.0;0.0
drt_5439;322.0;322.0;0.0
drt_6769;760.0;549.0;211.0
drt_5519;546.0;546.0;0.0
drt_5518;412.0;412.0;0.0
drt_6849;93.0;93.0;0.0
drt_6850;858.0;853.0;5.0
drt_6851;61.0;61.0;0.0
drt_5520;184.0;186.0;-2.0
drt_5522;373.0;375.0;-2.0
drt_6854;692.0;692.0;0.0
drt_5521;156.0;156.0;0.0
drt_6855;842.0;842.0;0.0
drt_5524;301.0;303.0;-2.0
drt_6852;311.0;311.0;0.0
drt_5523;80.0;80.0;0.0
drt_6853;136.0;138.0;-2.0
drt_5526;61.0;61.0;0.0
drt_6858;342.0;342.0;0.0
drt_5525;163.0;163.0;0.0
drt_6859;515.0;340.0;175.0
drt_5528;61.0;61.0;0.0
drt_6856;830.0;830.0;0.0
drt_5527;212.0;212.0;0.0
drt_6857;481.0;481.0;0.0
drt_5529;795.0;573.0;222.0
drt_6861;699.0;422.0;277.0
drt_6862;61.0;61.0;0.0
drt_4200;211.0;211.0;0.0
drt_5531;494.0;494.0;0.0
drt_5530;663.0;563.0;100.0
drt_6860;291.0;291.0;0.0
drt_4202;50.0;50.0;0.0
drt_5533;89.0;89.0;0.0
drt_6865;356.0;356.0;0.0
drt_4201;673.0;672.0;1.0
drt_5532;281.0;281.0;0.0
drt_6866;427.0;427.0;0.0
drt_4204;275.0;275.0;0.0
drt_5535;521.0;521.0;0.0
drt_6863;546.0;546.0;0.0
drt_4203;834.0;833.0;1.0
drt_5534;586.0;435.0;151.0
drt_6864;211.0;211.0;0.0
drt_4206;215.0;215.0;0.0
drt_5537;67.0;67.0;0.0
drt_6869;448.0;448.0;0.0
drt_4205;216.0;216.0;0.0
drt_5536;490.0;362.0;128.0
drt_4208;537.0;424.0;113.0
drt_5539;563.0;141.0;422.0
drt_6867;824.0;824.0;0.0
drt_4207;443.0;443.0;0.0
drt_5538;61.0;61.0;0.0
drt_6868;597.0;597.0;0.0
drt_6829;535.0;392.0;143.0
drt_6827;899.0;868.0;31.0
drt_6828;830.0;830.0;0.0
drt_5500;122.0;124.0;-2.0
drt_6832;477.0;477.0;0.0
drt_6833;472.0;472.0;0.0
drt_5502;212.0;212.0;0.0
drt_6830;188.0;190.0;-2.0
drt_5501;95.0;95.0;0.0
drt_6831;725.0;721.0;4.0
drt_5504;168.0;168.0;0.0
drt_6836;387.0;387.0;0.0
drt_5503;283.0;283.0;0.0
drt_6837;308.0;308.0;0.0
drt_5506;337.0;337.0;0.0
drt_6834;347.0;347.0;0.0
drt_5505;238.0;240.0;-2.0
drt_6835;401.0;401.0;0.0
drt_5508;179.0;179.0;0.0
drt_5507;61.0;61.0;0.0
drt_6838;886.0;825.0;61.0
drt_5509;278.0;278.0;0.0
drt_6839;851.0;851.0;0.0
drt_6840;866.0;866.0;0.0
drt_5511;230.0;230.0;0.0
