timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;350.9;61;80.7;131.25;282.5;533.5;830.8;1168
05:30:00;204;367.22;61;67.25;138.25;297.5;531.75;886.25;1151
06:00:00;331;425.49;61;78.6;158;317;686;1088.2;1176
06:30:00;717;556.78;4;90.9;242;525;842;1132;1197
07:00:00;776;601.44;10;91.85;305;588;895.75;1142.15;1226
07:30:00;708;583.85;9;75.45;274;543.5;907.75;1145.1;1281
08:00:00;560;535.51;15;61.05;221.75;485;815.25;1126.95;1198
08:30:00;295;472.39;5;61;189;383;731;1112.4;1244
09:00:00;185;489.31;10;106;231;421;703.5;1087.7;1201
09:30:00;180;498.7;7;98.05;230.75;438.5;750.75;1109.4;1184
10:00:00;198;514.54;61;101.95;207.75;486.5;764.5;1086.4;1195
10:30:00;208;533.42;61;87.9;243;473.5;817.5;1129.9;1230
11:00:00;248;539.74;3;82.7;248.25;508.5;794.75;1113.55;1203
11:30:00;195;506.63;61;76.6;200;458;789;1101;1193
12:00:00;232;490.69;20;75.6;213.25;440.5;744.75;1078.25;1198
12:30:00;102;400.49;61;61;141;355.5;601.5;910.15;1197
13:00:00;116;289.24;61;61;90.75;202;447.5;700.9;1186
13:30:00;138;325.59;61;61;163.5;262;463.75;836;964
14:00:00;226;370.58;39;69.4;130.75;277;559.25;900.8;1121
14:30:00;493;454.14;11;66.4;166;364;710;1053.2;1199
15:00:00;654;517.48;2;61;199.75;450;797.75;1142.5;1202
15:30:00;716;542;11;61;211.25;513.5;849.75;1139.6;1248
16:00:00;709;542.08;9;61;233.5;516;829;1151.5;1256
16:30:00;533;550.52;5;61;245;516;845.5;1136;1227
17:00:00;321;525.63;2;61;217.5;480;830;1113.8;1246
17:30:00;189;466.06;15;61;172.5;439;734.5;1083.5;1233
18:00:00;167;430.26;4;61;195;372;594;1092.2;1227
18:30:00;131;482.63;19;61;252;420;701;1068;1164
19:00:00;98;478.53;61;197.55;297.5;408.5;614.25;1086.5;1218
19:30:00;66;457.97;87;136.2;308;421.5;625;856.9;978
20:00:00;54;549.13;68;147.75;323.25;536;690.25;1128.75;1192
20:30:00;46;473.91;109;127.85;286.25;422;677.75;1035.85;1190
21:00:00;26;364.69;125;135.15;221.25;322.5;461;937.7;1098
21:30:00;13;377.85;86;86;217.5;276;573.5;893;893
22:00:00;9;298.33;223;223;252.5;267;349;418;418
