RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_5496;61.0;61.0;0.0
drt_4164;189.0;189.0;0.0
drt_5495;604.0;183.0;421.0
drt_4167;1156.0;1156.0;0.0
drt_5498;334.0;334.0;0.0
drt_4166;246.0;248.0;-2.0
drt_5497;1075.0;1075.0;0.0
drt_4169;574.0;408.0;166.0
drt_4168;746.0;459.0;287.0
drt_5499;178.0;180.0;-2.0
drt_6791;218.0;218.0;0.0
drt_6792;124.0;124.0;0.0
drt_4130;977.0;880.0;97.0
drt_5461;158.0;160.0;-2.0
drt_5460;308.0;181.0;127.0
drt_6790;1098.0;1096.0;2.0
drt_4132;120.0;120.0;0.0
drt_5463;129.0;129.0;0.0
drt_6795;1069.0;1069.0;0.0
drt_4131;165.0;165.0;0.0
drt_5462;163.0;163.0;0.0
drt_6796;120.0;120.0;0.0
drt_4134;150.0;150.0;0.0
drt_5465;457.0;405.0;52.0
drt_6793;599.0;425.0;174.0
drt_4133;68.0;68.0;0.0
drt_5464;1039.0;393.0;646.0
drt_6794;1044.0;1044.0;0.0
drt_4136;163.0;165.0;-2.0
drt_5467;104.0;104.0;0.0
drt_6799;451.0;299.0;152.0
drt_4135;935.0;935.0;0.0
drt_5466;61.0;61.0;0.0
drt_4138;51.0;51.0;0.0
drt_5469;575.0;523.0;52.0
drt_6797;915.0;915.0;0.0
drt_4137;529.0;355.0;174.0
drt_5468;901.0;716.0;185.0
drt_6798;42.0;42.0;0.0
drt_4139;631.0;631.0;0.0
drt_5470;212.0;212.0;0.0
drt_4141;712.0;538.0;174.0
drt_5472;431.0;431.0;0.0
drt_4140;413.0;322.0;91.0
drt_5471;296.0;296.0;0.0
drt_4143;330.0;330.0;0.0
drt_5474;725.0;381.0;344.0
drt_4142;279.0;279.0;0.0
drt_5473;114.0;114.0;0.0
drt_4145;589.0;528.0;61.0
drt_5476;980.0;980.0;0.0
drt_4144;581.0;581.0;0.0
drt_5475;581.0;340.0;241.0
drt_4147;208.0;208.0;0.0
drt_5478;309.0;309.0;0.0
drt_4146;762.0;743.0;19.0
drt_5477;71.0;71.0;0.0
drt_4149;615.0;463.0;152.0
drt_4148;612.0;612.0;0.0
drt_5479;715.0;584.0;131.0
drt_6770;1079.0;886.0;193.0
drt_4110;760.0;692.0;68.0
drt_5441;133.0;133.0;0.0
drt_6773;423.0;423.0;0.0
drt_5440;923.0;923.0;0.0
drt_6774;222.0;222.0;0.0
drt_4112;778.0;778.0;0.0
drt_5443;381.0;381.0;0.0
drt_6771;8.0;8.0;0.0
drt_4111;811.0;811.0;0.0
drt_5442;434.0;324.0;110.0
drt_6772;14.0;14.0;0.0
drt_4114;296.0;296.0;0.0
drt_5445;208.0;210.0;-2.0
drt_6777;396.0;396.0;0.0
drt_4113;736.0;302.0;434.0
drt_5444;514.0;404.0;110.0
drt_6778;675.0;674.0;1.0
drt_4116;701.0;701.0;0.0
drt_5447;895.0;179.0;716.0
drt_6775;896.0;468.0;428.0
drt_4115;242.0;242.0;0.0
drt_5446;497.0;497.0;0.0
drt_6776;321.0;321.0;0.0
drt_4118;874.0;874.0;0.0
drt_5449;167.0;169.0;-2.0
drt_4117;1127.0;1007.0;120.0
drt_5448;179.0;179.0;0.0
drt_6779;792.0;792.0;0.0
drt_4119;264.0;266.0;-2.0
drt_6780;438.0;438.0;0.0
drt_6781;964.0;964.0;0.0
drt_5450;95.0;95.0;0.0
drt_4121;1027.0;1027.0;0.0
drt_5452;103.0;103.0;0.0
drt_6784;753.0;753.0;0.0
drt_4120;1094.0;1094.0;0.0
drt_5451;681.0;316.0;365.0
drt_6785;495.0;489.0;6.0
drt_4123;791.0;596.0;195.0
drt_5454;81.0;81.0;0.0
drt_6782;937.0;937.0;0.0
drt_4122;178.0;178.0;0.0
drt_5453;772.0;181.0;591.0
drt_6783;951.0;951.0;0.0
drt_4125;368.0;368.0;0.0
drt_5456;201.0;203.0;-2.0
drt_6788;367.0;367.0;0.0
drt_4124;812.0;269.0;543.0
drt_5455;668.0;267.0;401.0
drt_6789;266.0;268.0;-2.0
drt_4127;404.0;241.0;163.0
drt_5458;225.0;146.0;79.0
drt_6786;144.0;144.0;0.0
drt_4126;765.0;765.0;0.0
drt_5457;372.0;118.0;254.0
drt_6787;375.0;375.0;0.0
