timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;337.29;61;64.85;116;293.5;485.25;827.35;992
05:30:00;204;370.99;61;78;138.5;298;551.25;940;1129
06:00:00;331;453.47;60;81.6;174;353;730;1069.2;1184
06:30:00;717;590.42;10;111.9;299;563;882.5;1144.2;1200
07:00:00;776;601.55;2;106.55;292;586.5;903.75;1144.3;1207
07:30:00;703;597.15;2;64.4;280;577;901;1152.6;1230
08:00:00;570;554.33;7;61;240.75;522;855.25;1145.45;1217
08:30:00;290;511.48;10;61;212.75;440;818.25;1142.8;1224
09:00:00;185;436.01;9;70.6;200.5;342;651.5;1015.6;1155
09:30:00;180;498.71;61;96.2;228;436;735.75;1090.1;1181
10:00:00;198;521.66;51;83.55;230;461;778.25;1094.7;1203
10:30:00;208;508.95;61;78.35;221.75;445;782.75;1095.1;1192
11:00:00;248;521.29;61;75;190.25;473.5;814;1113.15;1186
11:30:00;195;496.18;61;73;223;420;735;1085.6;1174
12:00:00;232;497.05;61;74.55;193;412.5;770.75;1076.05;1178
12:30:00;102;368.88;61;61;102.5;267.5;526.75;1091.45;1174
13:00:00;116;308.15;61;69.25;118;231;455.75;801.6;1085
13:30:00;138;350.43;61;70.65;145.5;240;517;925.85;1132
14:00:00;226;428.94;54;74.05;162;341;653.5;1035.65;1197
14:30:00;493;487.08;10;61;188;409;738.5;1123.7;1206
15:00:00;655;579.3;8;61.8;266;568;877;1138.6;1217
15:30:00;714;590.04;5;61;272.5;556.5;889.5;1154.25;1213
16:00:00;711;590.66;2;61;299;571;895;1149.4;1229
16:30:00;525;572.35;3;61;235.5;573;887;1128.7;1217
17:00:00;329;512.2;13;61;223;434;792;1092;1252
17:30:00;188;465.92;38;61;191.25;388.5;710;1085.15;1182
18:00:00;165;449.62;3;60.3;218;414;640;1053.8;1180
18:30:00;133;456.96;8;72.9;253.5;426;631;948.4;1173
19:00:00;98;519.06;56;179.65;325.75;448;680.5;1081;1161
19:30:00;66;444.68;81;121.35;255.5;419;615.5;962.2;1074
20:00:00;54;461.48;31;105.75;263.75;360.5;620.75;1148.75;1236
20:30:00;46;467.15;155;169.45;270;409;627.5;1053.35;1201
21:00:00;26;418.73;90;127.45;286.5;345.5;608.5;800.65;829
21:30:00;13;459;196;196;258.5;355;659.5;1054;1054
22:00:00;9;387.33;232;232;263.5;316;547;660;660
