"","S1","S2","S3","S4","S5","S6","S7","S8","S9"
"S1",1,0.5,3,3,2,3,0.2,0.1429,0.25
"S2",2,1,3,3,3,4,0.2,0.1667,0.25
"S3",0.3333,0.3333,1,1,0.5,2,0.1667,0.1429,0.2
"S4",0.3333,0.3333,1,1,0.5,3,0.2,0.1429,0.2
"S5",0.5,0.3333,2,2,1,3,0.2,0.1429,0.2
"S6",0.3333,0.25,0.5,0.3333,0.3333,1,0.1667,0.1429,0.2
"S7",5,5,6,5,5,6,1,0.2,3
"S8",7,6,7,7,7,7,5,1,5
"S9",4,4,5,5,5,5,0.3333,0.2,1
