"","S1","S2","S3","S4","S5","S6","S7","S8","S9"
"S1",1,0.5,3,2,2,4,0.3333,0.25,0.3333
"S2",2,1,4,3,3,4,0.3333,0.3333,0.5
"S3",0.3333,0.25,1,0.3333,0.3333,1,0.25,0.2,0.25
"S4",0.5,0.3333,3,1,1,3,0.25,0.25,0.3333
"S5",0.5,0.3333,3,1,1,3,0.25,0.25,0.3333
"S6",0.25,0.25,1,0.3333,0.3333,1,0.2,0.2,0.25
"S7",3,3,4,4,4,5,1,0.5,2
"S8",4,3,5,4,4,5,2,1,3
"S9",3,2,4,3,3,4,0.5,0.3333,1
