"","S1","S2","S3","S4","S5","S6","S7","S8","S9"
"S1",1,1,1,1,1,1,0.1667,0.125,0.1667
"S2",1,1,1,1,1,1,0.1667,0.125,0.1667
"S3",1,1,1,1,1,1,0.1667,0.1111,0.1667
"S4",1,1,1,1,1,1,0.1667,0.1111,0.1667
"S5",1,1,1,1,1,1,0.1667,0.125,0.1667
"S6",1,1,1,1,1,1,0.1667,0.125,0.1667
"S7",6,6,6,6,6,6,1,0.1667,1
"S8",8,8,9,9,8,8,6,1,6
"S9",6,6,6,6,6,6,1,0.1667,1
