"","S1","S2","S3","S4","S5","S6","S7","S8","S9"
"S1",1,1,1,1,1,1,9,9,9
"S2",1,1,1,1,1,1,9,9,9
"S3",1,1,1,1,1,1,9,9,9
"S4",1,1,1,1,1,1,9,9,9
"S5",1,1,1,1,1,1,9,9,9
"S6",1,1,1,1,1,1,9,9,9
"S7",0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,1,9,1
"S8",0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,1,0.1111
"S9",0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,1,9,1
