person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_1989;6925.582558324349;4748.436038591509;1.458497598375281;989.0;394.0;2.510152284263959
additional_407;2889.825566526154;2889.825566526154;1.0;332.0;263.0;1.2623574144486691
additional_1689;15740.489326588007;5560.64979890944;2.8306924362823653;1851.0;429.0;4.314685314685315
additional_155;10587.513344289555;4172.463202619141;2.5374731495878873;1511.0;294.0;5.139455782312925
additional_2151;16158.34920911912;5811.1622189624695;2.7805710114910624;1778.0;444.0;4.004504504504505
additional_1167;9719.328465332417;5633.025393467596;1.7254188977389577;1308.0;344.0;3.802325581395349
additional_622;10085.574902792603;4007.4693668473565;2.5166941976469412;1306.0;352.0;3.710227272727273
additional_2169;8577.075054288847;3199.5952057549766;2.68067505503872;1464.0;268.0;5.462686567164179
additional_1008;8594.283719726074;4206.59322466351;2.043050815880478;1342.0;235.0;5.7106382978723405
additional_133;7518.117193556903;4270.702465577336;1.7603935779076956;1063.0;334.0;3.182634730538922
additional_520;16580.413453877678;4908.906889689685;3.377618240977841;1700.0;365.0;4.657534246575342
additional_444;11148.191875116903;4025.058738776777;2.7696966923033925;1661.0;324.0;5.1265432098765435
additional_557;6889.3821995807975;2955.9296384057343;2.3306989821640514;1155.0;206.0;5.606796116504855
additional_1725;7513.55875030832;5145.939593558117;1.4600946267838197;1371.0;335.0;4.092537313432836
additional_210;5457.0126352028565;3183.4683438513966;1.7141721059493558;1039.0;257.0;4.042801556420233
additional_1061;8064.69990909034;2872.52632325904;2.807528635608983;1227.0;198.0;6.196969696969697
additional_639;7599.145373965954;3241.3517791280674;2.3444371027232793;1167.0;284.0;4.109154929577465
additional_2269;2616.4873408624762;2616.4873408624762;1.0;916.0;222.0;4.126126126126126
additional_925;5075.599970287655;4791.741678070538;1.059239064058106;1023.0;355.0;2.8816901408450706
additional_1707;4942.062635779703;4942.062635779703;1.0;489.0;398.0;1.228643216080402
additional_1080;12345.365549680731;5570.344236785075;2.216266181209271;1399.0;484.0;2.8904958677685952
additional_1125;16370.995392958263;7346.542088469403;2.2283946917901667;1870.0;473.0;3.953488372093023
additional_1776;9204.834316971986;4021.3024542316098;2.28901815313239;1265.0;282.0;4.48581560283688
additional_1793;11316.503474036248;6279.328144601963;1.8021838026994184;1680.0;373.0;4.50402144772118
additional_1225;9844.359857386538;6276.319458875432;1.5684924774607336;1579.0;323.0;4.8885448916408665
additional_643;6003.065952285779;3056.2489083163264;1.9641940602255594;1371.0;213.0;6.436619718309859
additional_589;15359.510277657328;5232.664917923209;2.9353131757103528;1597.0;401.0;3.9825436408977555
additional_286;5106.059271261013;2959.6983945746565;1.7251958107017908;815.0;334.0;2.440119760479042
additional_1463;7936.603574658686;7936.603574658686;1.0;956.0;430.0;2.2232558139534886
additional_374;6898.418912410883;4536.676388302294;1.520588713402235;1147.0;353.0;3.2492917847025495
additional_1279;11034.228552354918;5745.175499724696;1.9206077434681792;1309.0;330.0;3.966666666666667
additional_813;7987.0830782526;3770.1964875608246;2.1184792635091396;1473.0;305.0;4.829508196721312
additional_1529;10906.611375902376;5278.292959597013;2.066314139701536;1419.0;494.0;2.8724696356275303
additional_2312;6796.044413646006;3449.1257427167156;1.9703672526282208;1117.0;298.0;3.748322147651007
additional_482;11334.043106538666;4813.320446962487;2.354724401050666;1622.0;299.0;5.424749163879599
additional_1419;12165.354959549899;5502.661504756468;2.210812885552607;1507.0;326.0;4.622699386503068
additional_1820;2405.207386808278;2277.497404264054;1.0560746994947694;723.0;229.0;3.1572052401746724
additional_1627;3035.1225345423522;3035.1225345423522;1.0;904.0;211.0;4.2843601895734595
additional_1534;9792.237791533946;5731.109836054843;1.7086110843540707;1750.0;378.0;4.62962962962963
additional_81;5359.672789646518;3528.5206130980387;1.5189574831307926;1027.0;243.0;4.226337448559671
additional_1549;6912.70146643153;3889.4338496913606;1.777302747282892;941.0;265.0;3.550943396226415
additional_1475;12007.541653055265;4678.147925991711;2.566729792006269;1619.0;339.0;4.775811209439528
additional_1406;17851.790839195364;4860.413532938412;3.6728954683003865;1807.0;394.0;4.586294416243655
additional_1573;4667.82203713843;2560.877629030172;1.8227431034672972;1221.0;181.0;6.745856353591161
additional_1046;16703.858180551462;6204.582501489483;2.692180848033128;1808.0;454.0;3.9823788546255505
additional_1411;11790.23677593427;4545.535888690902;2.593805673224993;1228.0;338.0;3.633136094674556
additional_425;6704.278148702361;2914.5286539795898;2.300295843565692;1148.0;250.0;4.592
additional_1831;6176.8618423115995;1936.8426237732901;3.1891397713449994;949.0;180.0;5.272222222222222
additional_477;10073.373285749107;3870.3199889653456;2.602723628658422;1199.0;242.0;4.954545454545454
additional_1094;8986.006239593282;2338.467367103619;3.8426904587183435;1390.0;212.0;6.556603773584905
additional_818;2200.2308469010586;2200.2308469010586;1.0;255.0;167.0;1.526946107784431
additional_1807;6880.603391017181;5402.760707927412;1.273534728443802;999.0;398.0;2.5100502512562812
additional_1192;4602.856177385999;1650.6972120296705;2.788431545072038;786.0;137.0;5.737226277372263
additional_680;12937.993562004849;4849.485524458226;2.667910543655093;1684.0;342.0;4.923976608187134
additional_586;11643.474383155732;4051.3450324112273;2.873977479085734;1538.0;355.0;4.332394366197183
additional_1056;9960.74674115898;3664.1305353977987;2.7184475675557738;1327.0;298.0;4.453020134228188
additional_260;10183.9205138875;5350.730128433862;1.9032767995100315;1515.0;310.0;4.887096774193548
additional_2150;9617.472286919878;3206.59184431954;2.9992817152445443;1463.0;229.0;6.388646288209607
additional_178;8517.187582739647;7877.672739067315;1.0811806817641485;955.0;406.0;2.352216748768473
