time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
60875.0;12052000_12052000_29650;2987;1756;463417.46779098845;5736122.419162458;455760.8499617891;5734792.379564468
25643.0;12052000_12052000_30631;7317;7035;453994.1238374922;5744352.422341694;453940.87024093024;5744298.731873136
22767.0;12052000_12052000_20369;7033;7039;454138.9834755319;5744584.952298622;452432.3250010507;5744823.429268635
25717.0;12071000_12052000_51637;10524;2979;447060.3513071598;5731826.9752789475;457619.7953052222;5740765.676649678
62118.0;12052000_12052000_18772;2987;8142;463417.46779098845;5736122.419162458;455320.7895747407;5737554.696113271
