timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;307.56;61;69;120.75;243.5;499.25;679.75;711
05:30:00;204;332.27;61;72.25;148.25;298;496.75;683;734
06:00:00;330;351.59;61;77.55;155.75;323;547.25;682;700
06:30:00;717;396.87;1;71;214;403;597;683;714
07:00:00;779;438.93;5;91;274;461;634;690;728
07:30:00;705;416.66;6;82.3;241.5;440;604.5;682.7;734
08:00:00;567;398.81;4;61;197;424;607;688;721
08:30:00;291;390.64;5;61;202;383;590;682.4;767
09:00:00;180;405.21;54;87.3;228.25;409;602;684.95;741
09:30:00;180;408.36;61;90.15;229.25;401.5;609.25;690.95;723
10:00:00;198;384.82;40;75.7;199.5;371;599;687;770
10:30:00;208;403.06;18;75.45;213.25;389;612.75;685;717
11:00:00;248;426.67;61;87.7;222;475;631;693.55;740
11:30:00;195;398.23;12;81;196;400;610;679.4;696
12:00:00;232;401.34;61;71.65;200.5;429;585.25;680.4;702
12:30:00;102;316.89;61;61;133.5;283;492.25;668.55;700
13:00:00;116;238.21;61;61;86;169;344.25;616.2;697
13:30:00;138;291.72;61;64.95;118.75;236.5;446.5;671.15;700
14:00:00;226;346.34;61;61;151;300;559.5;674.65;710
14:30:00;491;367.64;4;61;156;356;586;680.8;699
15:00:00;656;386.11;2;61;188;389;604;687;710
15:30:00;715;389.83;3;61;196;402;594;683;741
16:00:00;711;406.6;10;61;210;430;612;683;717
16:30:00;530;406.68;11;61;243.75;416.5;592;682;749
17:00:00;318;395.01;18;61;172.25;420.5;606.25;689.05;755
17:30:00;187;388.8;19;61;185;438;605;688.8;737
18:00:00;166;384.72;4;61;194.5;400;559.5;686.9;743
18:30:00;132;425.48;4;74.65;283;452;614.75;679.35;694
19:00:00;98;421.87;47;117.9;270;422;594;685.1;724
19:30:00;66;427.42;136;158.2;286.75;424;595.5;693.3;735
20:00:00;54;419.59;104;162.75;302.5;411;554.25;686.5;699
20:30:00;46;449.04;139;167.7;334;450.5;582.75;683.85;690
21:00:00;26;395.12;171;174.5;265;355;529;673.6;675
21:30:00;13;306.62;111;111;221.5;257;362;673;673
22:00:00;9;408.78;186;186;278.5;337;634;663;663
