vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi126;135057.54;129096.89;5960.65;277984.3
taxi247;228997.24;217425.67;11571.57;492945.34
taxi240;155697.83;150354.02;5343.81;309847.84
taxi120;134174.72;120558.62;13616.11;259595.87
taxi241;179512.1;164712.65;14799.45;345493.88
taxi121;104105.36;101307.09;2798.27;235573.58
taxi242;181300.21;174732.29;6567.92;437097.93
taxi122;103363.41;102554.85;808.56;222305.34
taxi243;180684.58;169657.18;11027.41;391038.92
taxi127;101830.46;88535.7;13294.76;198624.78
taxi248;88233.46;86232.62;2000.84;180896.43
taxi128;165746.77;153921.09;11825.68;323507.07
taxi249;149346.76;141621.36;7725.4;277998.59
taxi129;203781.44;199907.45;3874;473664.77
