vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi287;40054.32;37880.82;2173.5;92616.01
taxi30;18044.09;16351.01;1693.08;43314.42
taxi32;107564.15;105764.79;1799.37;301788.13
taxi31;175989.81;167349.45;8640.37;349111.74
taxi34;166483.56;160540.75;5942.81;350067.44
taxi33;202469.14;184586.64;17882.5;395256.17
taxi112;128266.76;114972.78;13293.98;295558.3
taxi233;81826;79604.88;2221.11;220943.24
taxi354;43936.79;43304.69;632.09;118849.67
taxi113;98231.02;92521.79;5709.23;215243.78
taxi234;77600.75;71083.3;6517.45;160873.35
taxi355;118888.22;107970.91;10917.3;225736.71
taxi114;36936.52;31282.74;5653.78;47767.24
taxi235;54229.42;50940.23;3289.19;99847.3
taxi356;92197.25;91960.89;236.36;259174.81
taxi115;71128.95;68693.24;2435.71;132623.8
taxi236;124543.17;123298.53;1244.64;298685.97
taxi357;113331.55;104238.26;9093.29;277561.72
taxi350;127208.8;113537.79;13671.01;233727.94
taxi230;86025.68;82554.31;3471.36;232207.28
taxi351;52516.96;50185.43;2331.54;133281.09
taxi110;90310.04;87982.42;2327.62;203571.41
taxi231;70518.08;69264.13;1253.95;157519.84
taxi352;153628.15;149863.37;3764.79;361000.07
taxi111;173771.95;168494.68;5277.27;378796.58
taxi232;120004.49;112923.58;7080.91;266229.44
taxi353;147562.38;142684.77;4877.61;389356.92
taxi116;89392.78;86386.57;3006.21;224719.07
taxi237;114422.2;110675.95;3746.25;290327.41
taxi358;21060.02;16999.35;4060.67;29749.27
taxi117;119597.36;115486.69;4110.67;302497.7
taxi238;122745.65;117443.52;5302.13;297767.2
taxi359;63240.62;62812.15;428.48;154115.39
taxi118;89067.86;83851.75;5216.11;182009.62
taxi239;61439.02;60431.37;1007.65;147131.69
taxi119;96607.55;94948.98;1658.57;227812.21
taxi101;75958.78;75306.68;652.1;180053.99
taxi222;142720.29;131411.88;11308.41;302483.28
