departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
23826.0;additional_997;taxi175;8604;457345.32;5734364.85;1058;455353.69;5734733.21;1057.0;25092.0;209.0;2409.14;2373.98;-2;25026;25332
23831.0;12052000_12052000_6002;taxi389;3194;453646.49;5732618.69;6910;451665.44;5731239.83;74.0;24196.0;291.0;3359.97;3359.97;-2;25031;25467.5
23831.0;additional_350;taxi243;10293;453172.92;5732027.73;5911;453972.41;5735703.87;912.0;25594.0;851.0;8208.06;5452.01;-2;25031;25625
23831.0;additional_1023;taxi115;10154;456777.11;5734804.84;6160;453899.02;5735251.3;176.0;25410.0;1403.0;15155.68;4121.34;-2;25031;25505
23833.0;12052000_12052000_28803;taxi381;7926;453156.13;5736579.35;8754;452106.09;5732854.76;591.0;25446.0;1022.0;9896.04;6261.06;-2.27;25033;25808.5
23833.0;12052000_12052000_27318;taxi269;8276;455002.43;5730161.69;8433;455710.18;5728784.8;488.0;24665.0;344.0;2879.25;1812.04;-2;25033;25177
23839.0;12052000_12052000_4540;taxi17;7577;452689.23;5734375;3216;453661.35;5732470.12;1084.0;25373.0;450.0;3542.67;3416.85;-2;25039;25427.5
23840.0;12052000_12052000_27066;taxi171;4550;456695.69;5736790.86;4768;453546.6;5737484.4;587.0;25640.0;1213.0;15733.52;7051.31;-2.45;25040;25845.5
23841.0;12052000_12052000_28458;taxi266;7073;453863.81;5734715.48;1832;454687.89;5730150.09;174.0;24909.0;894.0;7453.86;5469.36;-2;25041;25561.5
23848.0;12052000_12052000_23506;taxi171;4544;456637.85;5736466.21;10674;457290.21;5739370.97;471.0;24682.0;363.0;4386.73;4375.77;-2;25048;25498
23849.0;additional_2234;taxi243;5876;453702.09;5730254.74;9287;454191.76;5734401.54;371.0;25059.0;839.0;7961.02;5789.2;-2.06;25049;25652
23849.0;12052000_12052000_16819;taxi122;3854;453691.28;5733213.14;10261;455676.73;5726131.6;1084.0;25583.0;650.0;10548.16;7742.77;-2.43;25049;25628
23850.0;additional_2144;taxi387;10907;453209.52;5731368.08;7804;455318.36;5734387.99;154.0;25567.0;1563.0;11465.96;5793.84;-2.05;25050;25636.5
23851.0;12052000_12052000_22702;taxi365;2881;456171.03;5730656.31;6136;455857.63;5731015.21;580.0;24495.0;64.0;646.69;646.69;-2;25051;25147
23861.0;12052000_12052000_18877;taxi387;6889;454211.31;5732716.37;1292;453833.44;5732213.57;399.0;24364.0;104.0;841.42;841.42;-2;25061;25217
23861.0;12052000_12052000_12055;taxi266;728;454415.5;5733015.71;8233;454552.82;5730464.21;466.0;24778.0;451.0;4367.75;3333.47;-2;25061;25413.5
23875.0;12052000_12052000_21371;taxi166;7767;457359.12;5729889.34;2951;453290.95;5741073.58;847.0;26601.0;1879.0;22035.94;16051.01;-4.82;25075;26738.5
23877.0;12071000_12052000_52855;taxi3;5140;448598.45;5733717.06;6805;456378.03;5730263.6;168.0;24890.0;845.0;12202.23;12202.23;-3.6;25077;26070
23878.0;additional_1947;taxi347;4774;454114.2;5737627.8;1398;452935.07;5735200.59;571.0;24845.0;396.0;3933.36;3801.91;-2;25078;25507
23883.0;additional_1829;taxi243;10486;453374.89;5730212.37;3242;453320.3;5735027.69;448.0;25392.0;1061.0;9854.24;5479.85;-2.02;25083;25722
23890.0;12052000_12052000_5427;taxi166;7;457803.98;5730192.41;9244;459611.81;5730113.16;981.0;25046.0;175.0;2122.22;2122.22;-2;25090;25352.5
23890.0;12052000_12052000_26073;taxi260;3666;455061.74;5734312.71;6382;454846.7;5732019.84;88.0;25009.0;1031.0;7819.19;4690.68;-2;25090;25552
