departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
56534.0;12052000_12052000_25667;taxi180;10337;457587.55;5736638.75;5829;455746.98;5731909.15;127.0;58659.0;1998.0;23488.64;7265.01;-2.59;57234;58694
56541.0;12052000_12052000_20342;taxi202;942;457723.26;5729888.04;10964;457536.05;5730229.81;658.0;57369.0;170.0;956.42;560.88;-2;57241;57832.5
56545.0;12052000_12052000_31515;taxi34;692;457357.03;5739318.66;5293;456634.67;5737034.23;307.0;57911.0;1059.0;8336.4;3877.91;-2;57245;58231
56552.0;additional_1348;taxi163;7957;453892.79;5734111.48;10848;454933.16;5730602.83;631.0;57889.0;706.0;10009.77;4146.83;-2;57252;58148
56558.0;12052000_12052000_21323;taxi103;2987;463417.47;5736122.42;6628;456771.89;5734264.39;61.0;57868.0;1249.0;17083.94;12963.3;-3.86;57258;58910
56559.0;12052000_12052000_16206;taxi130;3095;453469.9;5731980.2;3222;453662.54;5732180.51;594.0;57309.0;156.0;1545.15;1460.85;-2;57259;57976.5
56564.0;12052000_12052000_12811;taxi294;3554;454075.67;5729834.94;6126;456132.98;5730176.85;167.0;58052.0;1321.0;15404.7;3928.31;-2;57264;58115
56573.0;12052000_12052000_11879;taxi24;5831;456065.69;5732049.27;4548;456587.86;5736612.4;596.0;57903.0;734.0;9337.54;7948;-2.6;57273;58539.5
56574.0;12052000_12052000_24010;taxi183;8233;454552.82;5730464.21;5723;452891.72;5734389.14;321.0;57756.0;861.0;10766.55;5642.86;-2;57274;58335
56575.0;additional_2275;taxi155;3289;453048.08;5735245.81;4156;454042.11;5737082.01;67.0;57832.0;1190.0;9824.99;3172;-2;57275;58130.5
56576.0;12052000_12052000_21954;taxi34;7545;457593.49;5736517.14;5293;456634.67;5737034.23;690.0;57911.0;645.0;4332.93;1233.79;-2;57276;57941
56586.0;additional_1744;taxi174;1803;453915.65;5734524.12;7620;452046.72;5734307.65;533.0;57506.0;387.0;3730.71;2954.96;-2;57286;58144.5
56588.0;additional_1276;taxi264;5701;453147.96;5734055.57;4932;455683.36;5735488.69;275.0;57287.0;424.0;4602.51;3570.64;-2;57288;58160
56590.0;12052000_12052000_7430;taxi264;3335;453103.4;5734633.08;1661;457250.12;5739328.05;437.0;57732.0;705.0;9658.77;8900.98;-2.82;57290;58598.5
56592.0;additional_1156;taxi250;5805;452873.98;5734518.76;5185;455611.99;5733186.61;629.0;57968.0;747.0;7324.36;3917.9;-2;57292;58201.5
56594.0;12052000_12052000_11912;taxi209;3222;453662.54;5732180.51;7630;452491.37;5734471.48;38.0;58113.0;1481.0;14051.23;4111.25;-2;57294;58283
56598.0;12052000_12052000_31087;taxi156;7859;455876.64;5733661.57;3301;456284.26;5731914.27;628.0;57549.0;323.0;3247.84;2578.64;-2;57298;58122
56599.0;12052000_12052000_23082;taxi234;6819;456854.95;5732069.49;4548;456587.86;5736612.4;76.0;58456.0;1781.0;16421.75;8854.64;-2.83;57299;58637.5
56601.0;12052000_12052000_23470;taxi186;9431;456521.25;5728603.54;6209;453782.05;5731025.86;412.0;57643.0;630.0;6082.36;4778.3;-2;57301;58330.5
56611.0;12052000_12052000_21395;taxi191;3985;455893.29;5731412.39;1369;454854.86;5731082.9;158.0;58202.0;1433.0;11266.37;4029.88;-2;57311;58279
56612.0;12052000_12052000_16233;taxi6;3283;455408.1;5737709.16;644;452946.29;5736253.2;61.0;57876.0;1203.0;9976.78;4896.48;-2;57312;58332.5
56613.0;12071000_12052000_52402;taxi288;3016;452965.17;5731054.79;254;448403.06;5733455.52;266.0;57688.0;809.0;9861.44;8001.03;-2.58;57313;58537.5
56613.0;12052000_12052000_27623;taxi155;7622;452141.67;5734341.87;2374;452670.41;5739260.03;365.0;58509.0;1531.0;12034.17;7813.6;-2.64;57313;58680
56617.0;12052000_12052000_5982;taxi279;2598;457444.03;5739839.24;5755;456449.79;5732098.91;119.0;58176.0;1440.0;17435;9701.42;-3.01;57317;58676.5
56618.0;12052000_12052000_4349;taxi267;2951;453290.95;5741073.58;8142;455320.79;5737554.7;57.0;57863.0;1188.0;10075.71;6177.51;-2.31;57318;58676
56619.0;additional_2349;taxi125;1766;454206.46;5734795.79;6145;452331.16;5734222.41;393.0;57389.0;377.0;3350.12;2760.66;-2;57319;58185
56621.0;12052000_12052000_20050;taxi276;5624;457565.52;5740340.55;8835;451937.18;5734266.62;19.0;58677.0;2037.0;18396.37;11367.34;-3.48;57321;58887.5
56623.0;12052000_12052000_9319;taxi242;4760;452022.23;5733113.69;8142;455320.79;5737554.7;278.0;57728.0;827.0;8801.86;8260.87;-2.79;57323;58784.5
56627.0;12052000_12052000_29910;taxi276;10228;457492.26;5739626.98;10012;454264.79;5733319.4;186.0;58132.0;1319.0;12381.43;8673.55;-2.66;57327;58458.5
56634.0;12052000_12052000_18806;taxi111;9948;452350.53;5728703.92;8142;455320.79;5737554.7;369.0;59131.0;2128.0;22535.82;11646.86;-3.7;57334;59140.5
56637.0;12052000_12052000_27426;taxi234;5426;456141.78;5731579.36;4762;458179.96;5734926.05;694.0;58177.0;846.0;9629.73;7358.38;-2.52;57337;58660.5
56638.0;12052000_12052000_21913;taxi266;10261;455676.73;5726131.6;5777;453940.74;5730561.62;383.0;57535.0;514.0;7014.42;6175.75;-2.09;57338;58376.5
56638.0;12052000_12052000_1617;taxi142;1756;455760.85;5734792.38;295;454678;5734801.48;320.0;57937.0;979.0;9242.26;1241.88;-2;57338;57989.5
56639.0;12052000_12052000_20569;taxi48;9387;453620.74;5737217.92;1054;455358.33;5734630.02;135.0;57949.0;1175.0;9222.72;4834.92;-2;57339;58440.5
56642.0;additional_1449;taxi62;9758;454852.92;5734269.85;8791;451515.51;5734930.37;506.0;58254.0;1106.0;9400.04;4288.6;-2;57342;58331
56645.0;additional_470;taxi138;4865;454913.51;5734112.16;8253;453247.99;5731188.15;637.0;57931.0;649.0;8454.31;5244.56;-2;57345;58295
56646.0;12052000_12052000_19074;taxi280;8036;455614.28;5738043.5;2951;453290.95;5741073.58;70.0;58050.0;1334.0;10219.77;5104.6;-2.01;57346;58578
56647.0;12052000_12052000_23417;taxi294;6823;452571.85;5731232.32;6126;456132.98;5730176.85;691.0;58052.0;714.0;7894.6;4892.76;-2;57347;58324
56648.0;12052000_12052000_2316;taxi266;10261;455676.73;5726131.6;7632;454125.91;5732910.17;373.0;58317.0;1296.0;12743.5;8073.48;-2.57;57348;58532
56654.0;additional_849;taxi125;2596;453723.18;5734440.54;10057;454333.04;5730686.85;581.0;58050.0;815.0;8442.38;5191.95;-2;57354;58308.5
56655.0;12052000_12052000_10684;taxi57;3248;453833.79;5734187.34;1292;453833.44;5732213.57;642.0;57477.0;180.0;2263.3;2263.3;-2;57355;58125
56655.0;12052000_12052000_22176;taxi246;6420;455508.62;5739287.44;6422;455472.21;5739446.77;572.0;57248.0;21.0;166.65;166.65;-2;57355;57886.5
56656.0;12052000_12052000_17096;taxi48;5676;454573.13;5737473.77;6823;452571.85;5731232.32;527.0;58394.0;1211.0;13325.94;7966.43;-2.64;57356;58679.5
56660.0;12052000_12052000_27335;taxi149;7259;455457.93;5741943.88;8508;453349.77;5734697.9;542.0;58973.0;1771.0;19496.88;9687.92;-3.22;57360;59033
56663.0;12052000_12052000_26223;taxi259;2439;458127.44;5732554.26;5291;456875.77;5736801.04;140.0;57959.0;1156.0;12332.69;7559.78;-2.47;57363;58557.5
56663.0;additional_1523;taxi125;137;454428.81;5734985.28;733;454501.35;5732830.39;231.0;58339.0;1445.0;13451.59;3388.35;-2;57363;58346
56665.0;additional_646;taxi242;4588;453382.03;5734070.79;3132;454905.24;5737433.33;560.0;57884.0;659.0;6737.59;5156.85;-2;57365;58430.5
56666.0;12052000_12052000_3664;taxi76;5777;453940.74;5730561.62;2010;454100.63;5729070.81;61.0;56990.0;263.0;3166.6;3166.6;-2;57366;58260.5
56667.0;12052000_12052000_30519;taxi297;7687;454465.74;5734072.57;10635;454515.35;5735709.57;554.0;57862.0;641.0;5777.63;2969.8;-2;57367;58215
56668.0;12052000_12052000_24696;taxi120;4477;456592.9;5734704.22;9134;452560.6;5736269.51;306.0;58425.0;1451.0;13488.08;5733.33;-2.06;57368;58487.5
56678.0;12052000_12052000_23264;taxi267;2951;453290.95;5741073.58;6712;453589.09;5735010.17;214.0;58446.0;1554.0;13508.42;7092.9;-2.46;57378;58685
56678.0;12052000_12052000_23107;taxi139;3273;453731.36;5732824.84;10668;455096.79;5737226.59;539.0;58179.0;962.0;11317.7;6921;-2.29;57378;58481
56680.0;12052000_12052000_17529;taxi3;7628;452439.1;5734451.54;1118;453641.26;5731958.62;581.0;57703.0;442.0;5317.19;4772.8;-2;57380;58352.5
56686.0;12052000_12052000_20236;taxi188;7317;453994.12;5744352.42;1756;455760.85;5734792.38;105.0;58335.0;1544.0;16926.93;13043.71;-3.89;57386;59065
56690.0;12052000_12052000_18570;taxi127;8142;455320.79;5737554.7;5291;456875.77;5736801.04;152.0;58430.0;1588.0;13841.03;6969.94;-2.3;57390;58502
56692.0;12052000_12052000_16238;taxi149;2936;454940.66;5739926.56;1756;455760.85;5734792.38;72.0;58330.0;1566.0;16315.27;6685.99;-2.33;57392;58631.5
56692.0;additional_909;taxi6;5859;453589.09;5735010.17;9039;451339.7;5736388.3;617.0;58107.0;798.0;6830.3;3369.5;-2;57392;58241.5
56694.0;12071000_12052000_55072;taxi276;1511;457018.4;5739764.68;250;448750.69;5733358.77;366.0;59121.0;2061.0;20544.93;13094.55;-3.94;57394;59124
56697.0;12052000_12052000_5804;taxi3;6916;451603.03;5734148.99;2598;457444.03;5739839.24;205.0;58832.0;1930.0;21795.68;10646.26;-3.3;57397;58909.5
56698.0;12052000_12052000_11081;taxi258;7628;452439.1;5734451.54;7618;451938.79;5734838.27;114.0;56917.0;105.0;848.28;848.28;-2;57398;58055.5
56712.0;additional_503;taxi263;8610;455342.2;5735084.14;2008;453521.18;5730037.88;678.0;58562.0;1172.0;10040.94;7863.94;-2.58;57412;58671
56713.0;12052000_12052000_21132;taxi59;5640;452422.15;5739377.71;3874;454436.63;5734367.74;61.0;57633.0;859.0;8220.45;6629.34;-2.33;57413;58664.5
56713.0;additional_1235;taxi297;1501;454919.34;5734595.32;7247;454136.42;5732035.9;670.0;58247.0;864.0;9919.6;4558.49;-2;57413;58271.5
56713.0;12052000_12052000_7334;taxi164;2502;454139.72;5731189.96;6835;456607.87;5732008.95;658.0;58475.0;1104.0;8972.84;5761.72;-2.13;57413;58625.5
56716.0;additional_100;taxi155;1397;452979.48;5735316.56;6754;453714.1;5735946.99;704.0;57596.0;176.0;2495.8;2495.8;-2;57416;58180
56718.0;12052000_12052000_28812;taxi263;1756;455760.85;5734792.38;7073;453863.81;5734715.48;547.0;57814.0;549.0;3248.98;1973.87;-2;57418;58201.5
56721.0;12052000_12052000_20063;taxi276;1511;457018.4;5739764.68;5303;455585.56;5734314.46;339.0;57867.0;807.0;8316.08;7024.23;-2.37;57421;58626
56724.0;12052000_12052000_27794;taxi5;10644;454431.31;5736495.8;2374;452670.41;5739260.03;116.0;57538.0;698.0;6351.26;5128.21;-2;57424;58566
