time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax	7 pax	8 pax
06:30:00	218.09666666666666	11.156666666666666	26.71	13.846666666666666	12.09	12.716666666666667	4.34	1.0433333333333332	0.0	0.0
06:35:00	206.39333333333335	16.18	19.893333333333334	21.296666666666667	17.876666666666665	11.17	5.746666666666667	1.4433333333333334	0.0	0.0
06:40:00	189.92666666666668	15.223333333333333	26.43	23.233333333333334	21.716666666666665	16.25	6.073333333333333	1.1466666666666667	0.0	0.0
06:45:00	174.29333333333332	14.87	29.196666666666665	24.86	26.513333333333332	19.356666666666666	7.823333333333333	3.0866666666666664	0.0	0.0
06:50:00	162.18666666666667	15.236666666666666	27.013333333333332	29.256666666666668	30.516666666666666	21.76	9.933333333333334	3.716666666666667	0.38	0.0
06:55:00	153.97666666666666	10.666666666666666	24.096666666666668	35.653333333333336	35.526666666666664	26.15	10.63	2.83	0.23	0.24
07:00:00	146.00666666666666	9.343333333333334	25.426666666666666	39.14333333333333	41.13666666666666	24.71	10.813333333333333	2.42	0.72	0.28
07:05:00	140.96666666666667	12.253333333333334	30.79	40.51	34.0	28.026666666666667	9.16	3.6633333333333336	0.63	0.0
07:10:00	138.25333333333333	12.793333333333333	32.45333333333333	42.06333333333333	38.95	22.4	8.666666666666666	4.42	0.0	0.0
07:15:00	133.15	14.623333333333333	38.733333333333334	49.49	32.71	16.476666666666667	10.643333333333333	3.33	0.72	0.12333333333333334
07:20:00	125.75	15.016666666666667	48.623333333333335	46.17666666666667	28.81	20.74	11.676666666666666	2.9066666666666667	0.0	0.3
07:25:00	126.47	13.873333333333333	42.46	40.37	36.303333333333335	26.653333333333332	9.793333333333333	3.493333333333333	0.5833333333333334	0.0
07:30:00	129.47333333333333	16.19	29.923333333333332	42.11	42.78666666666667	27.2	10.056666666666667	2.0366666666666666	0.22333333333333333	0.0
07:35:00	128.24333333333334	8.656666666666666	36.67	44.626666666666665	44.35666666666667	27.133333333333333	8.05	1.2633333333333334	0.013333333333333334	0.9866666666666667
07:40:00	126.8	8.65	41.88	44.086666666666666	43.46666666666667	25.80666666666667	7.323333333333333	1.3933333333333333	0.24333333333333335	0.35
07:45:00	124.00333333333333	14.39	41.68	48.693333333333335	37.556666666666665	23.046666666666667	9.66	0.9266666666666666	0.043333333333333335	0.0
07:50:00	128.14666666666668	12.013333333333334	43.99	46.96333333333333	35.81	21.073333333333334	8.933333333333334	2.77	0.3	0.0
07:55:00	138.42333333333335	12.233333333333333	33.31333333333333	40.78	38.71	22.606666666666666	10.116666666666667	3.046666666666667	0.6833333333333333	0.08666666666666667
08:00:00	146.81	9.933333333333334	34.42666666666667	37.47666666666667	33.986666666666665	18.41	12.823333333333334	3.223333333333333	2.11	0.8
08:05:00	150.07	8.97	35.25	35.79	35.54	20.046666666666667	10.076666666666666	3.37	0.5333333333333333	0.35333333333333333
