vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi79;83810.95;77540.39;6270.56;225846.28
taxi81;230458.03;210549.34;19908.7;571738.11
taxi80;119261.86;113041.78;6220.09;319145.72
taxi83;32763.13;31618.54;1144.6;91653.22
taxi82;55866.93;50499.14;5367.8;123083.59
taxi85;107186.18;105013.32;2172.86;301043.52
taxi84;71687.18;70711.47;975.71;185300.57
taxi87;15481.23;14581.01;900.22;25024.26
taxi86;241228.81;233440.87;7787.95;584610.6
taxi89;39114.72;38723.37;391.35;100659.46
taxi88;125327.38;121518.25;3809.13;289643.18
taxi90;42290.64;40516.07;1774.56;87839.07
taxi92;114059.95;107642.82;6417.14;323102.31
taxi91;131495.59;124976.21;6519.38;366030.42
taxi94;42401.14;33132.62;9268.52;71087.89
taxi93;110827.36;109779.62;1047.74;271016.49
taxi96;197400.63;188837.5;8563.13;459097.77
taxi95;54924.81;53337.6;1587.21;146341.61
taxi98;105265.12;101971.4;3293.72;232511.17
taxi97;149989.95;134635.11;15354.84;259251.36
taxi99;106134.92;96993.26;9141.66;229930.56
taxi211;91271.81;84975.1;6296.71;207776.19
taxi212;110665.21;104568.04;6097.17;307827.42
taxi213;98785.45;96338.24;2447.22;308206.72
taxi214;139120.84;135636.94;3483.89;354620.89
taxi210;170233.98;157908.02;12325.96;338607.33
taxi219;207328.08;192051.5;15276.58;436768.66
taxi215;82013.58;80039.18;1974.4;179687.33
taxi216;93621.43;89008.31;4613.12;212590.21
taxi217;170455.9;164083.39;6372.51;422836.23
taxi218;96857.35;93485.21;3372.14;207874.36
taxi200;177634.27;167573.84;10060.42;425502.92
taxi201;187756.7;178293.86;9462.84;444161.99
taxi202;63127.63;61715.18;1412.45;157821.16
taxi203;26651.49;24168.48;2483.01;57201.24
taxi208;187702.83;175844.71;11858.12;445932.8
taxi209;169547.77;161091.55;8456.22;420220.29
taxi204;80634.06;78857.29;1776.77;230429.69
taxi205;153430.85;149163.13;4267.72;401616.56
taxi206;133112.34;127144.61;5967.73;324752.76
taxi207;136092.56;125730.03;10362.53;316729.4
taxi36;18981.26;18383.31;597.95;41092.41
taxi35;116892.15;100924.78;15967.36;271798.41
taxi38;141089.26;140445.27;644;339864.78
taxi37;180742.56;171263.47;9479.1;452982.63
taxi39;68273.58;64416.58;3857;170264.52
taxi192;165479.86;155458.28;10021.58;419209.7
taxi193;204896.39;198659.37;6237.02;528403
taxi194;249152.39;242419.24;6733.14;611732.28
taxi195;50603.81;45850.54;4753.27;101081.41
taxi190;78469.7;72195.05;6274.65;212568.7
taxi191;51578.92;49981.5;1597.41;129503.34
taxi196;49453.51;47914.51;1539;116669.67
taxi197;115848.98;113581.71;2267.27;322730.49
taxi198;53082.82;50993.91;2088.91;146195.8
taxi199;135467.8;130235.23;5232.57;341561.75
taxi41;177965.08;161333.58;16631.5;397064.16
taxi40;285619.73;275721.7;9898.04;856434.53
taxi43;133392.82;129205.17;4187.65;343713.7
taxi42;146785.47;139307.22;7478.25;351009.06
taxi45;158736.8;144624.48;14112.32;353542.67
taxi44;116568.87;115784.03;784.84;310586.38
taxi47;133420.27;130484.85;2935.42;292044.05
taxi46;102636.66;97209.01;5427.65;208395.78
taxi49;129145.05;118899.56;10245.49;265464.48
taxi48;180338.05;168620.47;11717.58;433125.57
taxi181;112640.6;99704.86;12935.74;230366.41
taxi182;104474.17;98773.86;5700.31;258738.88
taxi183;201609.49;182244.79;19364.69;425780.06
taxi184;137192.76;134007.02;3185.74;370168.92
taxi180;145455.76;142082.28;3373.47;368450.58
taxi189;72543.99;70281.69;2262.3;199691.29
taxi185;171316.66;164227.92;7088.73;453260.79
taxi186;240649.18;231816.44;8832.75;681621.49
taxi187;180649.45;161772.56;18876.88;362535.03
taxi188;141827.49;134529;7298.49;346492.03
taxi50;48724.07;47547.92;1176.15;142942.46
taxi52;127417.15;118400.59;9016.56;285317.14
taxi51;41461.86;38841.54;2620.32;95466.8
taxi54;18758.75;17622.02;1136.73;36857.89
taxi53;43751.35;38447.36;5303.99;105592.79
taxi56;10253.89;10037.32;216.57;10037.32
taxi55;71891.86;67579.96;4311.9;133025.78
taxi58;73819;61693.92;12125.08;157492.94
taxi57;126510.12;120400.01;6110.1;302998.4
taxi59;152168.26;146526.03;5642.23;388756.98
taxi61;102677.14;97486.64;5190.5;280434.19
taxi60;99224.78;96644.01;2580.78;205075.57
taxi63;75558.19;75132.75;425.44;241629.98
taxi62;178566.57;175274.09;3292.48;467807.87
taxi65;62467.16;61418.04;1049.11;176510.67
taxi64;34318.59;32057.65;2260.94;71638.93
taxi67;174198.51;159482.86;14715.64;393041.64
taxi66;85160.11;81500.55;3659.55;207661.29
taxi69;73911.33;71636.59;2274.74;176528.1
taxi68;44607.35;43392.58;1214.76;127347.97
taxi70;75777.14;67988.35;7788.79;188734.22
taxi72;211961.51;203309.71;8651.79;583835.92
taxi71;94346.69;93603.38;743.31;234754.02
taxi74;60356.83;56887.54;3469.29;144571.02
taxi73;155661.19;147736.5;7924.69;418575.78
taxi76;25117.73;24535.94;581.79;60886.87
taxi75;123857.99;111222.36;12635.63;261494.18
taxi78;149312.72;140471.76;8840.95;337310.33
taxi77;137926.73;126084;11842.73;324111.91
taxi270;34497.74;29589.66;4908.08;71074
taxi150;162881.65;159277.38;3604.27;415598.76
taxi271;198959.85;195230.15;3729.7;535071.08
taxi151;249299.72;236436.49;12863.24;558427.31
taxi272;146431.88;141149.63;5282.25;398209.19
taxi156;159251.53;155213.98;4037.55;385210.03
taxi277;153007.38;143860.9;9146.48;396584.39
taxi157;79014.98;77361.19;1653.79;194729.01
taxi278;97289.56;88053.45;9236.12;236054.36
taxi158;149042.16;142968.64;6073.52;389628.83
taxi279;87199.33;85185.33;2014;216042.71
taxi159;211004.64;198619.53;12385.1;493839.72
taxi152;101791.75;95811.24;5980.5;281108.72
taxi273;62938.31;59495.67;3442.64;116029.56
taxi153;121728.95;118451.4;3277.55;351902.53
taxi274;81504.57;80518.71;985.86;158881.89
taxi154;172959.87;155115.81;17844.06;396279.58
taxi275;133803.75;130575.34;3228.41;351053.78
taxi155;171165.4;162909.51;8255.89;489204.23
taxi276;160965.05;151067.76;9897.29;354463.03
taxi260;44017.52;40886.14;3131.37;53377.17
taxi140;30679.31;29052.79;1626.52;81630.17
taxi261;138077.42;130202.79;7874.63;342757.94
taxi145;139842.2;134807.16;5035.05;400307.62
taxi266;250266.97;230571.14;19695.83;595484.48
taxi146;191762.91;186875.79;4887.12;504909.54
taxi267;123002.49;119977.14;3025.34;308223.21
taxi147;154028.22;144544.1;9484.12;363574.45
taxi268;155176.47;144945.07;10231.4;383480.31
taxi148;175307.08;168256.32;7050.76;383135.47
taxi269;129622.29;124200.1;5422.19;349529.35
taxi141;116826.81;104545.45;12281.36;258934.3
taxi262;64655.25;64229.34;425.9;165396.14
taxi142;83675.75;76344.81;7330.94;201945.59
taxi263;122640.13;118767.29;3872.84;306116.08
taxi143;170965.88;165965.02;5000.86;408243.17
taxi264;212879.91;197526.12;15353.79;526564.77
taxi144;142786.94;130886.63;11900.31;358645.77
taxi265;61482.14;58803.88;2678.27;100038.67
taxi10;191669.86;183377.64;8292.22;487550.82
taxi149;154664.09;151795.45;2868.64;399674.72
taxi12;81683.32;77700.52;3982.8;227906.95
taxi11;52280.93;47516.66;4764.27;96935.05
taxi14;30257.72;30106.97;150.76;60442.5
taxi13;170927.62;169265.64;1661.98;405136.68
taxi0;105399.48;92839.07;12560.41;236148.55
taxi16;105523.59;94745.01;10778.58;229421.34
taxi1;159139.2;152571.15;6568.05;351412.61
taxi15;123212.27;115473.05;7739.22;332333.99
taxi2;128905.99;122285.94;6620.05;300080.98
taxi18;70757.72;67103.6;3654.12;186452.12
taxi3;123440.85;115585.13;7855.72;326185.04
taxi17;110974.51;110159.78;814.73;279707.94
taxi4;175134.19;168372.16;6762.03;447813.25
taxi5;54144.06;49970.51;4173.55;113644.8
