time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax
08:15:00	97.05333333333333	11.133333333333333	43.906666666666666	39.04666666666667	40.28	18.58
08:20:00	99.37666666666667	9.253333333333334	42.696666666666665	46.63	38.02	14.023333333333333
08:25:00	106.33666666666667	8.566666666666666	37.693333333333335	51.75	30.753333333333334	14.9
08:30:00	112.96666666666667	9.666666666666666	36.61	40.22	33.38666666666666	17.15
08:35:00	117.02333333333333	8.036666666666667	40.20333333333333	37.88666666666666	33.9	12.95
08:40:00	131.42666666666668	5.83	36.85	45.586666666666666	23.323333333333334	6.983333333333333
08:45:00	141.99	9.58	41.873333333333335	35.2	15.91	5.446666666666666
08:50:00	158.14666666666668	8.183333333333334	36.34	24.2	17.52	5.61
08:55:00	170.91	8.2	30.31	20.22	11.906666666666666	8.453333333333333
09:00:00	180.10666666666665	8.156666666666666	23.523333333333333	17.906666666666666	15.816666666666666	4.49
09:05:00	186.66	5.1066666666666665	17.176666666666666	20.26	14.123333333333333	6.673333333333333
09:10:00	190.05666666666667	5.513333333333334	18.903333333333332	14.033333333333333	12.773333333333333	8.72
09:15:00	192.39666666666668	5.983333333333333	18.63	18.55	11.713333333333333	2.7266666666666666
09:20:00	195.6	6.193333333333333	21.26	16.373333333333335	7.926666666666667	2.6466666666666665
09:25:00	202.05	5.79	15.856666666666667	14.9	7.226666666666667	4.176666666666667
09:30:00	206.79333333333332	5.27	12.793333333333333	11.463333333333333	10.883333333333333	2.796666666666667
09:35:00	207.56666666666666	4.046666666666667	10.053333333333333	13.413333333333334	10.233333333333333	4.6866666666666665
09:40:00	205.17666666666668	6.403333333333333	11.23	12.09	9.933333333333334	5.166666666666667
09:45:00	206.56	4.86	14.026666666666667	14.39	7.716666666666667	2.4466666666666668
09:50:00	209.40666666666667	7.3133333333333335	11.696666666666667	8.576666666666666	10.106666666666667	2.9
09:55:00	208.42	6.366666666666666	14.17	8.643333333333333	7.39	5.01
10:00:00	207.95333333333335	4.706666666666667	12.906666666666666	13.21	8.55	2.6733333333333333
10:05:00	204.56	4.1033333333333335	15.0	11.18	9.376666666666667	5.78
10:10:00	203.99333333333334	5.823333333333333	10.603333333333333	12.796666666666667	10.316666666666666	6.466666666666667
10:15:00	205.23	4.183333333333334	11.386666666666667	11.696666666666667	10.773333333333333	6.73
10:20:00	204.26	7.216666666666667	10.12	13.016666666666667	11.21	4.176666666666667
10:25:00	203.28333333333333	4.94	15.946666666666667	9.943333333333333	9.773333333333333	6.113333333333333
10:30:00	205.0	4.816666666666666	12.363333333333333	12.6	10.733333333333333	4.486666666666666
10:35:00	205.65333333333334	4.383333333333334	10.566666666666666	14.49	8.303333333333333	6.6033333333333335
10:40:00	203.94666666666666	6.696666666666666	12.496666666666666	8.903333333333334	12.55	5.406666666666666
10:45:00	200.04666666666665	6.263333333333334	16.316666666666666	13.583333333333334	10.443333333333333	3.3466666666666667
10:50:00	199.81666666666666	7.39	16.7	11.77	8.376666666666667	5.946666666666666
10:55:00	200.69333333333333	6.43	15.686666666666667	11.943333333333333	10.226666666666667	5.02
11:00:00	199.79666666666665	5.32	15.88	13.08	10.626666666666667	5.296666666666667
11:05:00	200.50333333333333	6.583333333333333	16.153333333333332	14.66	9.313333333333333	2.7866666666666666
11:10:00	201.20666666666668	6.7	15.876666666666667	15.0	8.406666666666666	2.81
11:15:00	203.06	4.516666666666667	13.046666666666667	15.473333333333333	10.206666666666667	3.6966666666666668
11:20:00	201.49666666666667	3.88	13.156666666666666	12.983333333333333	12.013333333333334	6.47
11:25:00	198.49333333333334	4.02	13.733333333333333	15.413333333333334	12.493333333333334	5.846666666666667
11:30:00	193.88	3.8133333333333335	16.883333333333333	18.94	12.563333333333333	3.92
11:35:00	192.51333333333332	4.14	16.12	17.94	14.053333333333333	5.233333333333333
11:40:00	193.13333333333333	2.8433333333333333	18.526666666666667	20.263333333333332	10.076666666666666	5.156666666666666
11:45:00	196.46666666666667	3.716666666666667	20.106666666666666	15.846666666666666	10.65	3.2133333333333334
11:50:00	202.14333333333335	5.013333333333334	15.906666666666666	15.716666666666667	7.796666666666667	3.4233333333333333
11:55:00	204.82666666666665	4.456666666666667	17.04	12.14	8.87	2.6666666666666665
12:00:00	206.45333333333335	3.506666666666667	13.366666666666667	14.266666666666667	9.513333333333334	2.8933333333333335
12:05:00	207.69666666666666	3.5166666666666666	9.303333333333333	14.72	10.803333333333333	3.96
12:10:00	204.83333333333334	7.333333333333333	15.63	8.683333333333334	9.28	4.24
12:15:00	203.81666666666666	5.883333333333334	15.513333333333334	12.54	9.493333333333334	2.7533333333333334
12:20:00	203.03333333333333	3.466666666666667	12.75	15.34	10.283333333333333	5.126666666666667
12:25:00	199.33	4.536666666666667	14.126666666666667	14.42	11.96	5.626666666666667
12:30:00	198.17	3.45	13.933333333333334	17.566666666666666	11.46	5.42
12:35:00	201.00666666666666	2.8633333333333333	16.793333333333333	13.636666666666667	12.82	2.88
12:40:00	206.77666666666667	3.7266666666666666	13.02	14.506666666666666	7.253333333333333	4.716666666666667
12:45:00	212.23666666666668	3.6766666666666667	8.766666666666667	15.3	7.74	2.28
12:50:00	214.92666666666668	3.24	14.353333333333333	10.84	5.176666666666667	1.4633333333333334
12:55:00	220.68666666666667	4.3533333333333335	11.826666666666666	7.803333333333334	3.93	1.4
13:00:00	224.11333333333334	4.056666666666667	9.773333333333333	6.43	3.6333333333333333	1.9933333333333334
13:05:00	225.77666666666667	3.203333333333333	5.556666666666667	5.426666666666667	7.166666666666667	2.87
13:10:00	224.29333333333332	2.7333333333333334	5.516666666666667	4.39	7.376666666666667	5.69
13:15:00	222.88333333333333	1.93	7.246666666666667	6.276666666666666	6.953333333333333	4.71
13:20:00	224.51666666666668	2.183333333333333	8.206666666666667	6.296666666666667	6.006666666666667	2.79
13:25:00	229.11333333333334	3.6533333333333333	6.176666666666667	2.6633333333333336	5.383333333333334	3.01
13:30:00	227.18333333333334	3.1633333333333336	8.72	3.683333333333333	4.326666666666667	2.9233333333333333
13:35:00	224.56333333333333	2.9566666666666666	6.99	8.756666666666666	4.74	1.9933333333333334
13:40:00	224.37666666666667	3.9166666666666665	7.596666666666667	4.213333333333333	6.073333333333333	3.8233333333333333
13:45:00	224.53666666666666	2.47	7.28	4.18	8.116666666666667	3.4166666666666665
13:50:00	222.31	2.6233333333333335	7.496666666666667	9.026666666666667	5.22	3.3233333333333333
13:55:00	220.99	4.716666666666667	7.043333333333333	5.03	7.953333333333333	4.266666666666667
14:00:00	220.26666666666668	3.4766666666666666	7.3933333333333335	8.266666666666667	7.736666666666666	2.86
14:05:00	219.24	5.666666666666667	7.826666666666667	6.1866666666666665	7.543333333333333	3.5366666666666666
14:10:00	216.85333333333332	4.013333333333334	10.493333333333334	8.406666666666666	7.61	2.6233333333333335
14:15:00	208.64333333333335	6.513333333333334	13.273333333333333	7.653333333333333	6.98	6.9366666666666665
14:20:00	207.27	5.34	12.676666666666666	9.623333333333333	11.356666666666667	3.7333333333333334
14:25:00	199.56	8.486666666666666	15.763333333333334	9.786666666666667	9.26	7.1433333333333335
14:30:00	191.16666666666666	7.35	17.003333333333334	15.883333333333333	13.346666666666666	5.25
14:35:00	184.99333333333334	7.8	20.173333333333332	17.413333333333334	14.036666666666667	5.583333333333333
14:40:00	176.33333333333334	9.813333333333333	18.92	22.83	16.046666666666667	6.056666666666667
14:45:00	167.17666666666668	9.99	22.043333333333333	20.206666666666667	21.903333333333332	8.68
14:50:00	155.52666666666667	12.463333333333333	25.15	24.733333333333334	21.116666666666667	11.01
14:55:00	143.80666666666667	13.423333333333334	30.196666666666665	26.573333333333334	25.546666666666667	10.453333333333333
15:00:00	137.1	12.78	25.133333333333333	36.28333333333333	30.006666666666668	8.696666666666667
15:05:00	127.56333333333333	8.92	35.50333333333333	36.07333333333333	27.026666666666667	14.913333333333334
15:10:00	122.40333333333334	9.273333333333333	36.75333333333333	37.236666666666665	31.766666666666666	12.566666666666666
15:15:00	116.19666666666667	11.933333333333334	35.01	43.27333333333333	32.73	10.856666666666667
15:20:00	109.66666666666667	12.203333333333333	40.513333333333335	42.833333333333336	28.636666666666667	16.14666666666667
15:25:00	99.67666666666666	14.566666666666666	46.656666666666666	44.75	31.72	12.63
15:30:00	95.34	15.273333333333333	44.12	50.016666666666666	36.23	9.02
15:35:00	88.35	13.126666666666667	42.61	53.35	37.78	14.783333333333333
15:40:00	83.52	11.3	43.24333333333333	56.24666666666667	40.18	15.51
15:45:00	77.34666666666666	9.626666666666667	51.28333333333333	51.983333333333334	44.56666666666667	15.193333333333333
15:50:00	79.22666666666667	9.606666666666667	45.92333333333333	59.656666666666666	43.836666666666666	11.75
15:55:00	79.7	12.496666666666666	43.486666666666665	60.446666666666665	39.67	14.2
16:00:00	80.16333333333333	13.446666666666667	44.42666666666667	55.166666666666664	41.56333333333333	15.233333333333333
16:05:00	80.74	17.636666666666667	40.17666666666667	58.93666666666667	42.413333333333334	10.096666666666666
16:10:00	77.13	15.26	53.693333333333335	50.63	40.096666666666664	13.19
16:15:00	75.61	15.786666666666667	43.88666666666666	58.446666666666665	42.5	13.77
16:20:00	73.07666666666667	13.43	46.38	57.89333333333333	42.156666666666666	17.063333333333333
16:25:00	71.33333333333333	11.87	48.013333333333335	64.60333333333334	40.086666666666666	14.093333333333334
16:30:00	76.14333333333333	10.653333333333334	55.61333333333334	56.63	39.72	11.24
16:35:00	80.83666666666667	16.203333333333333	56.733333333333334	43.233333333333334	36.56666666666667	16.426666666666666
16:40:00	86.68	14.88	42.836666666666666	54.12	36.943333333333335	14.54
16:45:00	93.56333333333333	7.636666666666667	46.86333333333334	48.64	37.13333333333333	16.163333333333334
16:50:00	102.87333333333333	11.416666666666666	41.74333333333333	46.583333333333336	36.11	11.273333333333333
16:55:00	110.99333333333334	11.74	43.27333333333333	45.22	26.366666666666667	12.406666666666666
17:00:00	124.34	10.303333333333333	38.03	37.79333333333334	29.91	9.623333333333333
17:05:00	129.74	10.713333333333333	41.53	41.2	20.25	6.566666666666666
17:10:00	142.02666666666667	8.13	35.846666666666664	39.88333333333333	18.686666666666667	5.426666666666667
17:15:00	150.73333333333332	10.453333333333333	36.27	24.893333333333334	20.34	7.31
17:20:00	158.64	10.773333333333333	29.213333333333335	27.416666666666668	16.04	7.916666666666667
17:25:00	160.83666666666667	8.953333333333333	31.09	28.84	14.55	5.73
17:30:00	168.41	5.613333333333333	33.416666666666664	24.763333333333332	13.136666666666667	4.66
17:35:00	176.88333333333333	9.74	23.733333333333334	20.18	15.796666666666667	3.6666666666666665
17:40:00	184.11333333333334	7.976666666666667	20.686666666666667	20.473333333333333	13.33	3.42
17:45:00	190.15	5.786666666666667	21.496666666666666	15.36	11.346666666666666	5.86
17:50:00	200.72666666666666	4.333333333333333	15.96	13.463333333333333	11.156666666666666	4.36
