time	STAY	DRIVE	STOP
00:00:00	249.16666666666666	0.0	0.0
00:05:00	250.0	0.0	0.0
00:10:00	250.0	0.0	0.0
00:15:00	250.0	0.0	0.0
00:20:00	250.0	0.0	0.0
00:25:00	250.0	0.0	0.0
00:30:00	250.0	0.0	0.0
00:35:00	250.0	0.0	0.0
00:40:00	250.0	0.0	0.0
00:45:00	250.0	0.0	0.0
00:50:00	250.0	0.0	0.0
00:55:00	250.0	0.0	0.0
01:00:00	250.0	0.0	0.0
01:05:00	250.0	0.0	0.0
01:10:00	250.0	0.0	0.0
01:15:00	250.0	0.0	0.0
01:20:00	250.0	0.0	0.0
01:25:00	250.0	0.0	0.0
01:30:00	250.0	0.0	0.0
01:35:00	250.0	0.0	0.0
01:40:00	250.0	0.0	0.0
01:45:00	250.0	0.0	0.0
01:50:00	250.0	0.0	0.0
01:55:00	250.0	0.0	0.0
02:00:00	250.0	0.0	0.0
02:05:00	250.0	0.0	0.0
02:10:00	250.0	0.0	0.0
02:15:00	250.0	0.0	0.0
02:20:00	250.0	0.0	0.0
02:25:00	250.0	0.0	0.0
02:30:00	250.0	0.0	0.0
02:35:00	250.0	0.0	0.0
02:40:00	250.0	0.0	0.0
02:45:00	250.0	0.0	0.0
02:50:00	250.0	0.0	0.0
02:55:00	250.0	0.0	0.0
03:00:00	250.0	0.0	0.0
03:05:00	250.0	0.0	0.0
03:10:00	250.0	0.0	0.0
03:15:00	250.0	0.0	0.0
03:20:00	250.0	0.0	0.0
03:25:00	250.0	0.0	0.0
03:30:00	250.0	0.0	0.0
03:35:00	250.0	0.0	0.0
03:40:00	250.0	0.0	0.0
03:45:00	250.0	0.0	0.0
03:50:00	250.0	0.0	0.0
03:55:00	250.0	0.0	0.0
04:00:00	250.0	0.0	0.0
04:05:00	250.0	0.0	0.0
04:10:00	250.0	0.0	0.0
04:15:00	250.0	0.0	0.0
04:20:00	250.0	0.0	0.0
04:25:00	250.0	0.0	0.0
04:30:00	250.0	0.0	0.0
04:35:00	250.0	0.0	0.0
04:40:00	250.0	0.0	0.0
04:45:00	250.0	0.0	0.0
04:50:00	250.0	0.0	0.0
04:55:00	250.0	0.0	0.0
05:00:00	247.70666666666668	1.4366666666666668	0.8566666666666667
05:05:00	243.88	4.55	1.57
05:10:00	237.2	8.436666666666667	4.363333333333333
05:15:00	226.84666666666666	15.843333333333334	7.31
05:20:00	224.19	18.296666666666667	7.513333333333334
05:25:00	221.25	19.84	8.91
05:30:00	216.38333333333333	22.23	11.386666666666667
05:35:00	212.02333333333334	25.216666666666665	12.76
05:40:00	212.18666666666667	25.246666666666666	12.566666666666666
05:45:00	213.55	25.573333333333334	10.876666666666667
05:50:00	210.74333333333334	25.516666666666666	13.74
05:55:00	207.83333333333334	29.706666666666667	12.46
06:00:00	205.41333333333333	30.933333333333334	13.653333333333334
06:05:00	199.42333333333335	34.61333333333334	15.963333333333333
06:10:00	196.17666666666668	38.79333333333334	15.03
06:15:00	190.58666666666667	43.14666666666667	16.266666666666666
06:20:00	184.97333333333333	47.736666666666665	17.29
06:25:00	175.78	55.223333333333336	18.996666666666666
06:30:00	166.85333333333332	63.373333333333335	19.773333333333333
06:35:00	156.92666666666668	69.52333333333333	23.55
06:40:00	143.06	81.16666666666667	25.773333333333333
06:45:00	126.76666666666667	93.92333333333333	29.31
06:50:00	112.84666666666666	104.51	32.64333333333333
06:55:00	100.82	113.75	35.43
07:00:00	89.79666666666667	119.64333333333333	40.56
07:05:00	82.15666666666667	128.31666666666666	39.526666666666664
07:10:00	76.21333333333334	132.78333333333333	41.00333333333333
07:15:00	74.39666666666666	138.07	37.53333333333333
07:20:00	73.39	134.45	42.16
07:25:00	77.29333333333334	129.14666666666668	43.56
07:30:00	73.13	135.89	40.98
07:35:00	71.3	136.04666666666665	42.653333333333336
07:40:00	73.11666666666666	134.50333333333333	42.38
