"","avg_wait","p95_wait","total_travel_time","reliability","idle_vehicle_share","environmental_efficiency"
"avg_wait",1,0.8333,1.25,0.8333,2.5,2.5
"p95_wait",1.2,1,1.5,1,3,3
"total_travel_time",0.8,0.6667,1,0.6667,2,2
"reliability",1.2,1,1.5,1,3,3
"idle_vehicle_share",0.4,0.3333,0.5,0.3333,1,1
"environmental_efficiency",0.4,0.3333,0.5,0.3333,1,1
