vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi79;71786.72;71177.55;609.17;206788.52
taxi310;25009.88;22863.49;2146.4;62313.94
taxi311;135143.49;130399.22;4744.27;265134.47
taxi312;32397.2;30642.95;1754.25;60126.43
taxi313;93080.97;89966.66;3114.31;210298.41
taxi81;201806.09;184238.19;17567.9;462501.61
taxi80;51492.43;50619.18;873.26;123815.36
taxi83;46926.01;41550.83;5375.18;101179.9
taxi318;110944.08;106271.54;4672.54;224893.05
taxi82;68702.27;65353.57;3348.69;162892.96
taxi319;119985.03;116411.9;3573.13;311992.68
taxi85;76076.08;75812.95;263.12;178601.29
taxi84;59553.04;59083.07;469.97;190433
taxi87;51510.06;50786.94;723.12;110656.91
taxi314;27054.37;22579.33;4475.03;27448.31
taxi86;89238.4;88381.74;856.65;256796.36
taxi315;144222.59;139921.4;4301.19;383482.82
taxi89;92162.66;91392.63;770.03;241760.91
taxi316;81107.97;77554.66;3553.31;186818.83
taxi88;57380.93;52702.9;4678.03;120555.01
taxi317;32528.36;32291.38;236.97;97293.15
taxi300;226613.63;217948.16;8665.47;578730.41
taxi301;108570.18;100553.26;8016.92;237957.09
taxi302;68465.37;63235.05;5230.32;142337.24
taxi90;174491.83;166920.12;7571.71;369712.09
taxi92;92280.02;88393.46;3886.56;202785.17
taxi91;77589.6;77468.97;120.63;195776.28
taxi94;220323.97;211332.51;8991.46;521140.93
taxi307;94392.9;89758.81;4634.1;184423
taxi93;84614.78;82355.4;2259.38;192251.39
taxi308;64342.35;61802.68;2539.67;150936.69
taxi96;50068.61;48595.75;1472.86;110591.33
taxi309;86900.4;78155.01;8745.39;152533.81
taxi95;26025.14;24285.35;1739.79;56306.47
taxi98;59266.51;58594.48;672.03;153983.31
taxi303;113106.61;110365.34;2741.27;270182.67
taxi97;68897.27;67241.12;1656.15;167961.3
taxi304;142757.07;139513.43;3243.64;295176.11
taxi305;49689.74;45641.15;4048.59;107456.82
taxi99;214111.12;208722.87;5388.25;480692.85
taxi306;47086.18;46268.62;817.56;124683.41
taxi211;154877.23;136786.86;18090.38;307195.91
taxi332;47097.55;46312.16;785.39;99246.34
taxi212;177315.8;172648.11;4667.69;430151.84
taxi333;67269.99;61642.17;5627.82;141793.05
taxi213;85642.18;83152.36;2489.82;214087.57
taxi334;19862.58;17373.53;2489.05;32204.35
taxi214;63329.58;59313.04;4016.55;144488.15
taxi335;32254.02;29291.24;2962.78;60893.2
taxi330;127437.34;122952.93;4484.41;270186.28
taxi210;68409.72;60717.3;7692.41;137646.16
taxi331;137557.05;128458.66;9098.39;258980.3
taxi219;78646.29;73954.41;4691.88;183374.64
taxi215;237277.71;219452.37;17825.35;501543.98
taxi336;48661.01;46992.9;1668.11;93243.66
taxi216;77832.62;74244.76;3587.86;225444.8
taxi337;80799.57;78086.86;2712.71;207690.58
taxi217;125224.84;119933.55;5291.29;324347.69
taxi338;156439.29;151832.42;4606.87;353519.68
taxi218;124839.86;114366.23;10473.64;243858.64
taxi339;125510.6;118589.68;6920.93;318762.38
taxi200;251163.87;246483.29;4680.58;677000.33
taxi321;102587.03;100056.49;2530.53;210603.43
