RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_5496;106.0;106.0;0.0
drt_4164;189.0;189.0;0.0
drt_5495;581.0;146.0;435.0
drt_4167;104.0;106.0;-2.0
drt_5498;431.0;431.0;0.0
drt_4166;122.0;124.0;-2.0
drt_5497;169.0;169.0;0.0
drt_4169;475.0;475.0;0.0
drt_4168;333.0;333.0;0.0
drt_5499;452.0;212.0;240.0
drt_6791;427.0;427.0;0.0
drt_6792;329.0;329.0;0.0
drt_4130;176.0;178.0;-2.0
drt_5461;147.0;149.0;-2.0
drt_5460;356.0;356.0;0.0
drt_6790;61.0;61.0;0.0
drt_4132;945.0;711.0;234.0
drt_5463;236.0;236.0;0.0
drt_6795;418.0;418.0;0.0
drt_4131;886.0;476.0;410.0
drt_5462;850.0;525.0;325.0
drt_6796;961.0;961.0;0.0
drt_4134;641.0;639.0;2.0
drt_5465;61.0;61.0;0.0
drt_6793;38.0;38.0;0.0
drt_4133;230.0;230.0;0.0
drt_5464;396.0;396.0;0.0
drt_6794;1135.0;1135.0;0.0
drt_4136;497.0;497.0;0.0
drt_5467;445.0;310.0;135.0
drt_6799;729.0;729.0;0.0
drt_4135;557.0;498.0;59.0
drt_5466;71.0;71.0;0.0
drt_4138;213.0;213.0;0.0
drt_5469;179.0;179.0;0.0
drt_6797;61.0;61.0;0.0
drt_4137;518.0;391.0;127.0
drt_5468;98.0;98.0;0.0
drt_6798;931.0;763.0;168.0
drt_4139;1053.0;1052.0;1.0
drt_5470;301.0;301.0;0.0
drt_4141;1024.0;874.0;150.0
drt_5472;648.0;403.0;245.0
drt_4140;200.0;109.0;91.0
drt_5471;219.0;221.0;-2.0
drt_4143;117.0;117.0;0.0
drt_5474;323.0;323.0;0.0
drt_4142;376.0;315.0;61.0
drt_5473;802.0;557.0;245.0
drt_4145;186.0;186.0;0.0
drt_5476;110.0;110.0;0.0
drt_4144;355.0;357.0;-2.0
drt_5475;109.0;109.0;0.0
drt_4147;567.0;567.0;0.0
drt_5478;65.0;65.0;0.0
drt_4146;156.0;156.0;0.0
drt_5477;156.0;158.0;-2.0
drt_4149;845.0;845.0;0.0
drt_4148;566.0;566.0;0.0
drt_5479;590.0;394.0;196.0
drt_6770;717.0;713.0;4.0
drt_4110;365.0;331.0;34.0
drt_5441;113.0;113.0;0.0
drt_6773;442.0;442.0;0.0
drt_5440;252.0;252.0;0.0
drt_6774;584.0;584.0;0.0
drt_4112;865.0;216.0;649.0
drt_5443;381.0;381.0;0.0
drt_6771;760.0;759.0;1.0
drt_4111;284.0;284.0;0.0
drt_5442;304.0;304.0;0.0
drt_6772;61.0;61.0;0.0
drt_4114;393.0;395.0;-2.0
drt_5445;208.0;210.0;-2.0
drt_6777;633.0;557.0;76.0
drt_4113;674.0;301.0;373.0
drt_5444;384.0;384.0;0.0
drt_6778;244.0;244.0;0.0
drt_4116;413.0;411.0;2.0
drt_5447;569.0;364.0;205.0
drt_6775;772.0;369.0;403.0
drt_4115;28.0;28.0;0.0
drt_5446;497.0;497.0;0.0
drt_6776;290.0;290.0;0.0
drt_4118;347.0;347.0;0.0
drt_5449;341.0;341.0;0.0
drt_4117;187.0;189.0;-2.0
drt_5448;135.0;137.0;-2.0
drt_6779;725.0;725.0;0.0
drt_4119;397.0;276.0;121.0
drt_6780;774.0;774.0;0.0
drt_6781;1156.0;1081.0;75.0
drt_5450;95.0;95.0;0.0
drt_4121;157.0;157.0;0.0
drt_5452;403.0;403.0;0.0
drt_6784;1047.0;678.0;369.0
drt_4120;137.0;137.0;0.0
drt_5451;108.0;108.0;0.0
drt_6785;215.0;215.0;0.0
drt_4123;151.0;153.0;-2.0
drt_5454;72.0;72.0;0.0
drt_6782;968.0;968.0;0.0
drt_4122;207.0;207.0;0.0
drt_5453;481.0;481.0;0.0
drt_6783;1155.0;1094.0;61.0
drt_4125;307.0;307.0;0.0
drt_5456;86.0;86.0;0.0
drt_6788;366.0;366.0;0.0
drt_4124;386.0;386.0;0.0
drt_5455;258.0;258.0;0.0
drt_6789;215.0;215.0;0.0
drt_4127;432.0;432.0;0.0
drt_5458;457.0;193.0;264.0
drt_6786;1.0;1.0;0.0
drt_4126;605.0;605.0;0.0
drt_5457;86.0;86.0;0.0
drt_6787;863.0;846.0;17.0
drt_4129;843.0;768.0;75.0
drt_4128;259.0;259.0;0.0
drt_5459;574.0;310.0;264.0
drt_5419;153.0;155.0;-2.0
drt_6751;153.0;154.0;-1.0
drt_6752;981.0;866.0;115.0
drt_5421;718.0;343.0;375.0
drt_5420;80.0;80.0;0.0
drt_6750;148.0;148.0;0.0
drt_5423;144.0;144.0;0.0
drt_6755;411.0;411.0;0.0
drt_5422;727.0;267.0;460.0
drt_6756;1072.0;531.0;541.0
drt_5425;220.0;220.0;0.0
drt_6753;471.0;471.0;0.0
drt_5424;153.0;155.0;-2.0
drt_6754;587.0;587.0;0.0
drt_5427;313.0;313.0;0.0
drt_6759;107.0;109.0;-2.0
drt_5426;190.0;192.0;-2.0
drt_5429;319.0;319.0;0.0
drt_6757;1149.0;1149.0;0.0
drt_5428;231.0;231.0;0.0
drt_6758;21.0;21.0;0.0
drt_5430;71.0;71.0;0.0
drt_6762;1136.0;1136.0;0.0
drt_6763;152.0;152.0;0.0
drt_4101;710.0;556.0;154.0
drt_5432;73.0;73.0;0.0
drt_6760;886.0;749.0;137.0
drt_4100;796.0;362.0;434.0
drt_5431;461.0;449.0;12.0
drt_6761;854.0;522.0;332.0
drt_4103;556.0;522.0;34.0
drt_5434;418.0;315.0;103.0
drt_6766;961.0;791.0;170.0
drt_4102;144.0;144.0;0.0
drt_5433;335.0;335.0;0.0
drt_6767;130.0;130.0;0.0
drt_4105;61.0;61.0;0.0
drt_5436;196.0;196.0;0.0
drt_6764;434.0;434.0;0.0
drt_4104;448.0;213.0;235.0
drt_5435;94.0;94.0;0.0
drt_6765;450.0;450.0;0.0
drt_4107;171.0;173.0;-2.0
drt_5438;79.0;81.0;-2.0
drt_4106;98.0;100.0;-2.0
drt_5437;96.0;96.0;0.0
drt_4109;253.0;253.0;0.0
drt_6768;661.0;661.0;0.0
drt_4108;29.0;29.0;0.0
drt_5439;238.0;238.0;0.0
drt_6769;408.0;408.0;0.0
drt_5519;817.0;691.0;126.0
drt_5518;617.0;424.0;193.0
drt_6849;966.0;966.0;0.0
drt_6850;281.0;281.0;0.0
drt_6851;61.0;61.0;0.0
drt_5520;184.0;186.0;-2.0
drt_5522;373.0;375.0;-2.0
drt_6854;189.0;187.0;2.0
drt_5521;61.0;61.0;0.0
drt_6855;104.0;104.0;0.0
drt_5524;152.0;154.0;-2.0
drt_6852;953.0;892.0;61.0
drt_5523;143.0;143.0;0.0
drt_6853;54.0;54.0;0.0
drt_5526;61.0;61.0;0.0
drt_6858;451.0;451.0;0.0
drt_5525;165.0;165.0;0.0
drt_6859;1007.0;738.0;269.0
drt_5528;64.0;64.0;0.0
drt_6856;1022.0;1022.0;0.0
drt_5527;117.0;119.0;-2.0
drt_6857;82.0;82.0;0.0
drt_5529;463.0;378.0;85.0
drt_6861;516.0;516.0;0.0
drt_6862;1138.0;998.0;140.0
drt_4200;207.0;207.0;0.0
drt_5531;225.0;225.0;0.0
drt_5530;784.0;553.0;231.0
drt_6860;431.0;410.0;21.0
drt_4202;773.0;755.0;18.0
drt_5533;89.0;89.0;0.0
drt_6865;785.0;785.0;0.0
drt_4201;431.0;322.0;109.0
drt_5532;91.0;91.0;0.0
drt_6866;490.0;318.0;172.0
drt_4204;159.0;159.0;0.0
drt_5535;482.0;482.0;0.0
drt_6863;329.0;329.0;0.0
drt_4203;110.0;112.0;-2.0
drt_5534;164.0;164.0;0.0
drt_6864;124.0;124.0;0.0
drt_4206;61.0;61.0;0.0
drt_5537;61.0;61.0;0.0
drt_6869;621.0;621.0;0.0
drt_4205;136.0;136.0;0.0
drt_5536;490.0;362.0;128.0
drt_4208;218.0;186.0;32.0
drt_5539;488.0;403.0;85.0
drt_6867;352.0;354.0;-2.0
drt_4207;139.0;129.0;10.0
drt_5538;408.0;323.0;85.0
drt_6868;676.0;596.0;80.0
drt_6829;119.0;119.0;0.0
drt_6827;1157.0;1062.0;95.0
drt_6828;188.0;190.0;-2.0
drt_5500;284.0;284.0;0.0
drt_6832;367.0;367.0;0.0
drt_6833;944.0;912.0;32.0
drt_5502;212.0;212.0;0.0
drt_6830;933.0;933.0;0.0
drt_5501;95.0;95.0;0.0
drt_6831;1061.0;1061.0;0.0
drt_5504;675.0;372.0;303.0
drt_6836;1147.0;845.0;302.0
drt_5503;287.0;287.0;0.0
drt_6837;269.0;271.0;-2.0
drt_5506;66.0;66.0;0.0
drt_6834;468.0;117.0;351.0
drt_5505;679.0;486.0;193.0
drt_6835;97.0;97.0;0.0
drt_5508;78.0;80.0;-2.0
drt_5507;61.0;61.0;0.0
drt_6838;702.0;702.0;0.0
drt_5509;280.0;280.0;0.0
drt_6839;542.0;541.0;1.0
drt_6840;171.0;171.0;0.0
drt_5511;135.0;135.0;0.0
drt_6843;1045.0;683.0;362.0
drt_5510;61.0;61.0;0.0
drt_6844;126.0;126.0;0.0
drt_5513;522.0;294.0;228.0
drt_6841;427.0;427.0;0.0
drt_5512;508.0;437.0;71.0
drt_6842;808.0;747.0;61.0
drt_5515;124.0;124.0;0.0
drt_6847;525.0;525.0;0.0
drt_5514;185.0;187.0;-2.0
drt_6848;675.0;675.0;0.0
drt_5517;479.0;479.0;0.0
drt_6845;160.0;160.0;0.0
drt_5516;335.0;335.0;0.0
drt_6846;49.0;49.0;0.0
drt_6807;465.0;465.0;0.0
drt_6808;689.0;687.0;2.0
drt_6805;312.0;312.0;0.0
drt_6806;329.0;329.0;0.0
drt_6809;422.0;289.0;133.0
drt_9083;291.0;291.0;0.0
drt_9082;231.0;146.0;85.0
drt_9081;242.0;242.0;0.0
drt_9080;743.0;743.0;0.0
drt_9087;299.0;299.0;0.0
drt_9086;92.0;92.0;0.0
drt_9085;831.0;779.0;52.0
drt_9084;87.0;87.0;0.0
drt_9089;724.0;663.0;61.0
drt_9088;564.0;503.0;61.0
drt_6810;202.0;202.0;0.0
drt_6811;976.0;976.0;0.0
drt_6814;763.0;763.0;0.0
drt_6815;806.0;792.0;14.0
drt_6812;499.0;499.0;0.0
drt_6813;997.0;965.0;32.0
drt_6818;397.0;397.0;0.0
drt_6819;443.0;443.0;0.0
drt_6816;694.0;694.0;0.0
drt_6817;1143.0;1143.0;0.0
drt_9090;386.0;386.0;0.0
drt_9094;1129.0;1068.0;61.0
drt_9093;61.0;61.0;0.0
drt_9092;789.0;236.0;553.0
