time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax
05:40:00	211.50333333333333	4.84	8.876666666666667	7.336666666666667	6.406666666666666	6.456666666666667	3.466666666666667	1.1133333333333333
05:45:00	212.54	3.203333333333333	9.146666666666667	8.02	7.003333333333333	4.973333333333334	4.366666666666666	0.7466666666666667
05:50:00	206.58	6.806666666666667	12.563333333333333	8.126666666666667	8.506666666666666	4.82	2.1166666666666667	0.48
05:55:00	207.60333333333332	4.663333333333333	11.593333333333334	8.95	6.97	5.89	3.4266666666666667	0.9033333333333333
06:00:00	206.39	5.08	9.283333333333333	7.31	9.47	9.086666666666666	2.69	0.69
06:05:00	199.98	6.72	12.516666666666667	10.926666666666666	6.26	7.406666666666666	4.64	1.55
06:10:00	196.12666666666667	5.843333333333334	16.81	11.33	10.683333333333334	4.806666666666667	2.9266666666666667	1.4733333333333334
06:15:00	191.98666666666668	8.85	12.913333333333334	10.536666666666667	11.556666666666667	10.696666666666667	2.9566666666666666	0.5033333333333333
06:20:00	185.23666666666668	12.216666666666667	15.256666666666666	13.206666666666667	11.473333333333333	6.476666666666667	5.22	0.9133333333333333
06:25:00	178.00333333333333	8.95	23.496666666666666	19.886666666666667	8.833333333333334	5.076666666666667	4.676666666666667	1.0766666666666667
06:30:00	170.72333333333333	13.593333333333334	22.06	16.386666666666667	14.496666666666666	9.013333333333334	3.15	0.5766666666666667
06:35:00	157.71666666666667	15.556666666666667	29.206666666666667	16.736666666666668	11.55	10.886666666666667	7.486666666666666	0.86
06:40:00	143.18333333333334	12.076666666666666	31.726666666666667	24.956666666666667	19.706666666666667	9.29	7.113333333333333	1.9466666666666668
06:45:00	124.63666666666667	16.1	29.89	31.393333333333334	25.86	17.186666666666667	4.3133333333333335	0.62
06:50:00	113.02	14.803333333333333	31.346666666666668	34.96333333333333	30.8	18.14	5.3	1.6266666666666667
06:55:00	102.68	14.38	25.49	43.843333333333334	35.11333333333334	18.986666666666668	8.253333333333334	1.2533333333333334
07:00:00	90.81666666666666	13.123333333333333	31.253333333333334	47.04	34.8	23.57	5.616666666666666	3.78
07:05:00	83.49333333333334	12.686666666666667	33.71666666666667	51.82	33.63333333333333	23.23	9.65	1.77
07:10:00	76.63	15.953333333333333	38.32666666666667	48.093333333333334	42.10666666666667	17.66	10.333333333333334	0.8966666666666666
07:15:00	73.41	13.39	51.97666666666667	49.346666666666664	33.0	16.873333333333335	10.32	1.6833333333333333
07:20:00	72.68	13.4	48.903333333333336	49.74	32.666666666666664	27.05	4.75	0.81
07:25:00	75.28666666666666	12.723333333333333	38.45666666666666	48.25333333333333	44.47666666666667	22.123333333333335	7.18	1.5
07:30:00	78.46	11.18	38.26	46.96	41.09	21.143333333333334	10.383333333333333	2.5233333333333334
07:35:00	75.90333333333334	11.87	41.97	49.67	38.94	18.096666666666668	9.18	4.37
07:40:00	80.34666666666666	9.646666666666667	40.38333333333333	47.79	36.95666666666666	21.30666666666667	9.33	4.24
07:45:00	77.27666666666667	10.5	42.06333333333333	48.6	39.376666666666665	20.15	8.82	3.2133333333333334
07:50:00	80.71666666666667	8.36	41.06666666666667	48.17	36.846666666666664	23.16	8.35	3.33
07:55:00	85.74333333333334	9.123333333333333	36.513333333333335	50.11666666666667	34.873333333333335	20.186666666666667	9.63	3.8133333333333335
08:00:00	90.91	9.83	32.516666666666666	47.63666666666666	33.46	20.473333333333333	12.153333333333334	3.02
