timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;335.7;61;64.85;124.5;284;486.5;791.35;899
05:30:00;204;359.66;61;73.5;138.5;270;563.75;848.25;897
06:00:00;330;427.3;11;85;172;369.5;672;872.45;934
06:30:00;717;497.76;10;77;252;510;761;868.1;914
07:00:00;776;534.43;3;95.85;319;566.5;780.75;880.15;961
07:30:00;709;498.6;5;78;263;498;753.5;874.5;970
08:00:00;562;474.36;3;65.75;235.75;476.5;699.5;872;917
08:30:00;293;458.67;29;102.7;249;432;689;868.3;932
09:00:00;184;430.9;14;91.25;209;374.5;653.5;861.75;898
09:30:00;180;464.55;61;90.1;228;448;716;874.9;919
10:00:00;198;462.01;61;84.85;215.25;429;719;883.1;938
10:30:00;208;493.4;61;80.45;221.75;531.5;774.75;881;959
11:00:00;248;486.57;50;84.9;256;479;753.5;872.55;941
11:30:00;195;523.6;61;88.2;302;557;748;889.6;915
12:00:00;232;494.06;61;76;230.25;503.5;777.25;878.35;898
12:30:00;102;364.73;61;67.45;144.25;301.5;509.75;879.8;908
13:00:00;116;275.86;61;61;113.5;205.5;348;695.5;822
13:30:00;138;289.82;61;65;132.25;232;385.75;718.1;806
14:00:00;226;399.42;61;80.05;161.5;352;616;848.9;943
14:30:00;492;422.32;10;61;164;378.5;689.25;880;923
15:00:00;656;468.25;2;61;231.25;451;725.5;870.15;940
15:30:00;715;508.53;2;61;279;525;755;875.2;937
16:00:00;708;489.44;1;61;246.25;498.5;735;870.55;949
16:30:00;531;489.24;2;61;239;497;743;884;916
17:00:00;322;454.33;27;61;213.75;444;686;852.7;902
17:30:00;190;448.18;17;61;190.25;422;689.5;870.9;921
18:00:00;166;411.72;3;60.35;209.75;370;624.75;845.65;882
18:30:00;132;468.52;42;106.8;278.25;434;678.75;865.45;890
19:00:00;98;438.45;47;117.55;284.75;404.5;579.5;775.85;874
19:30:00;66;460.41;69;153.3;300.5;415;635.75;880.9;900
20:00:00;54;468.56;127;173.5;314.75;434;632.75;849;950
20:30:00;46;484.37;166;175.8;330;432.5;671;810.15;822
21:00:00;26;406.31;142;158.8;264.75;356.5;536;731.65;732
21:30:00;13;330.77;89;89;205.5;279;421;803;803
22:00:00;9;312.67;125;125;228.5;307;415.5;537;537
