pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
DrtBusStop---DrtBusStop	13972	2218	106	10	0	0	0	0	0	0	0	0	0
DrtStay---DrtBusStop	1133	98	3	0	0	0	0	0	0	0	0	0	0
drt interaction---drt interaction	162	517	772	1981	2545	2538	1046	362	68	5	2	0	0
drt interaction---home	4068	412	68	51	13	0	10	2	15	11	0	0	1
drt interaction---work	4605	587	51	36	13	5	10	4	15	21	0	0	0
home---drt interaction	4068	413	68	51	13	0	10	2	15	11	0	0	1
home---work	4	2	0	0	0	0	1	0	0	0	0	0	0
work---drt interaction	4605	587	51	36	13	5	10	4	15	21	0	0	0
work---home	4	2	0	0	0	0	1	0	0	0	0	0	0

average leg duration: 426.8714168541925 seconds = 00:07:06
